date,Outflows_cmd
10/31/2009,2292147.698
11/1/2009,2251289.886
11/2/2009,2606557.121
11/3/2009,4619721.809
11/4/2009,4746283.163
11/5/2009,3276894.356
11/6/2009,3226470.433
11/7/2009,2800423.768
11/8/2009,2689569.43
11/9/2009,5155668.649
11/10/2009,4933886.575
11/11/2009,3052176.391
11/12/2009,4263133.424
11/13/2009,4924271.534
11/14/2009,4410661.929
11/15/2009,4323270.25
11/16/2009,6246254.164
11/17/2009,7456036.84
11/18/2009,7197923.12
11/19/2009,5837700.514
11/20/2009,5810078.676
11/21/2009,4580649.998
11/22/2009,3977373.4
11/23/2009,4094466.505
11/24/2009,4016885.594
11/25/2009,1967046.739
11/26/2009,1037348.032
11/27/2009,1002606.659
11/28/2009,1590274.105
11/29/2009,1869917.69
11/30/2009,1629419.314
12/1/2009,1256805.858
12/2/2009,1487517.932
12/3/2009,1497524.426
12/4/2009,665468.5486
12/5/2009,587178.1311
12/6/2009,193279.4682
12/7/2009,257379.7475
12/8/2009,386069.6212
12/9/2009,858748.0167
12/10/2009,1017775.427
12/11/2009,1020955.975
12/12/2009,1255093.255
12/13/2009,839175.4124
12/14/2009,990863.0962
12/15/2009,770671.2971
12/16/2009,281600.8454
12/17/2009,168813.7127
12/18/2009,85630.14412
12/19/2009,207958.9214
12/20/2009,181046.5904
12/21/2009,173706.8638
12/22/2009,242210.9791
12/23/2009,354753.4542
12/24/2009,347413.7276
12/25/2009,349860.3031
12/26/2009,171260.2882
12/27/2009,264474.8165
12/28/2009,450903.8732
12/29/2009,707060.3329
12/30/2009,1357849.428
12/31/2009,670361.6997
1/1/2010,398791.814
1/2/2010,305821.9433
1/3/2010,1507922.372
1/4/2010,2929872.079
1/5/2010,3812474.208
1/6/2010,4159765.607
1/7/2010,3614644.109
1/8/2010,1690632.634
1/9/2010,806171.1082
1/10/2010,821144.1506
1/11/2010,2070316.693
1/12/2010,1656331.645
1/13/2010,1081386.391
1/14/2010,949271.3119
1/15/2010,1563361.774
1/16/2010,1568254.925
1/17/2010,692136.222
1/18/2010,479528.8071
1/19/2010,426927.4329
1/20/2010,687487.7285
1/21/2010,829389.1102
1/22/2010,474635.656
1/23/2010,349860.3031
1/24/2010,964342.2173
1/25/2010,379219.2097
1/26/2010,0
1/27/2010,249550.7057
1/28/2010,1396994.637
1/29/2010,2546885.143
1/30/2010,1646545.342
1/31/2010,871959.5247
2/1/2010,515982.7827
2/2/2010,415917.8429
2/3/2010,305821.9433
2/4/2010,122328.7773
2/5/2010,29358.90655
2/6/2010,215298.6481
2/7/2010,0
2/8/2010,83183.56857
2/9/2010,305993.2036
2/10/2010,418364.4184
2/11/2010,149241.1083
2/12/2010,195726.0437
2/13/2010,1093619.269
2/14/2010,1685690.551
2/15/2010,1957260.437
2/16/2010,2145646.754
2/17/2010,2362144.224
2/18/2010,1470758.889
2/19/2010,967351.5052
2/20/2010,1067685.568
2/21/2010,2892096.953
2/22/2010,2983354.221
2/23/2010,2620282.41
2/24/2010,2429449.517
2/25/2010,1225734.349
2/26/2010,1514968.51
2/27/2010,1145902.589
2/28/2010,422523.5968
3/1/2010,314507.2865
3/2/2010,1049580.909
3/3/2010,3158529.03
3/4/2010,4795288.071
3/5/2010,4465000.372
3/6/2010,3107150.944
3/7/2010,1301578.191
3/8/2010,1544523.142
3/9/2010,2993164.989
3/10/2010,4833209.991
3/11/2010,4269665.781
3/12/2010,1363990.333
3/13/2010,0
3/14/2010,0
3/15/2010,910126.1032
3/16/2010,39145.20874
3/17/2010,58717.81311
3/18/2010,714400.0595
3/19/2010,609197.311
3/20/2010,731526.0883
3/21/2010,770671.2971
3/22/2010,342520.5765
3/23/2010,530906.8935
3/24/2010,651767.7255
3/25/2010,741312.3905
3/26/2010,807369.9303
3/27/2010,4183644.184
3/28/2010,6549482.738
3/29/2010,2603156.382
3/30/2010,1499750.81
3/31/2010,1671011.098
4/1/2010,4932296.301
4/2/2010,6217482.436
4/3/2010,6214301.888
4/4/2010,6247086
4/5/2010,6584762.356
4/6/2010,7582255.673
4/7/2010,8005611.105
4/8/2010,9106741.361
4/9/2010,8286013.129
4/10/2010,6276200.249
4/11/2010,7550205.533
4/12/2010,5114199.193
4/13/2010,3860769.609
