,date,Outflows_acft
470,2009-01-13,3744.481612670464
471,2009-01-14,4158.095451606407
472,2009-01-15,7822.2463659163295
473,2009-01-16,7536.804618194143
474,2009-01-17,4764.8798273652465
475,2009-01-18,2622.5295274521072
476,2009-01-19,3741.4072276084707
477,2009-01-20,9033.990320521623
478,2009-01-21,9689.885512771389
479,2009-01-22,9091.17387640684
480,2009-01-23,2970.093681476004
481,2009-01-24,2288.6513439946866
482,2009-01-25,2207.4875866898433
483,2009-01-26,2998.199508627008
484,2009-01-27,4326.313884286088
485,2009-01-28,5731.783747383249
486,2009-01-29,7483.746687757723
487,2009-01-30,4937.4420675209085
488,2009-01-31,1751.4670725179387
489,2009-02-01,2874.430729161094
490,2009-02-02,2271.097598865472
491,2009-02-03,6449.761676272401
492,2009-02-04,8877.375210847731
493,2009-02-05,7854.1604628781215
494,2009-02-06,4943.551167419745
495,2009-02-07,936.1997420646625
496,2009-02-08,1326.9441259128967
497,2009-02-09,3160.665866603885
498,2009-02-10,6001.85357094951
499,2009-02-11,3830.46521185396
500,2009-02-12,4162.915293824589
501,2009-02-13,4739.669872387988
502,2009-02-14,3760.3494042569314
503,2009-02-15,3104.989750438305
504,2009-02-16,5134.738229060238
505,2009-02-17,6351.083843606578
506,2009-02-18,6034.382545236714
507,2009-02-19,6343.368129186368
508,2009-02-20,6454.0856495722055
509,2009-02-21,5407.48574350193
510,2009-02-22,3147.9517979288194
511,2009-02-23,4339.880846582391
512,2009-02-24,4191.080624881668
513,2009-02-25,4753.197164540205
514,2009-02-26,5238.136730679112
515,2009-02-27,5611.82323732938
516,2009-02-28,5141.581214406905
517,2009-03-01,2682.608955896192
518,2009-03-02,3624.8582934852193
519,2009-03-03,5809.9326234043365
520,2009-03-04,5931.559250994633
521,2009-03-05,5432.1006558974605
522,2009-03-06,4713.170659048164
523,2009-03-07,4257.745186819999
524,2009-03-08,3005.161502473965
525,2009-03-09,3895.027291201268
526,2009-03-10,4702.896263930025
527,2009-03-11,5520.34541519601
528,2009-03-12,5444.933732836342
529,2009-03-13,5538.335524919472
530,2009-03-14,4061.837457129258
531,2009-03-15,3183.733669378899
532,2009-03-16,4266.670820156054
533,2009-03-17,4967.690046549348
534,2009-03-18,2568.4798604201656
535,2009-03-19,817.1913002998994
536,2009-03-20,491.90155938839706
537,2009-03-21,312.00046491632776
538,2009-03-22,366.94269552874795
539,2009-03-23,623.405887571839
540,2009-03-24,2015.566639604179
541,2009-03-25,4952.734652274866
542,2009-03-26,4219.702154807086
543,2009-03-27,2582.800542608715
544,2009-03-28,1582.8122757036028
545,2009-03-29,3364.0711279958746
546,2009-03-30,6466.621205352139
547,2009-03-31,5092.708414758303
548,2009-04-01,2529.623603858923
549,2009-04-02,3431.667923276492
550,2009-04-03,5186.5465705712295
551,2009-04-04,3891.119847199444
552,2009-04-05,2611.660089726165
553,2009-04-06,5613.449686368851
554,2009-04-07,8048.104553747397
555,2009-04-08,7812.884368434072
