date,INDUST_cms,INDUST_cmd
2/7/2009,0.849505398,73397.26639
2/8/2009,0.453069546,39145.20874
2/9/2009,1.41584233,122328.7773
2/10/2009,1.33089179,114989.0507
2/11/2009,1.50079287,129668.504
2/12/2009,1.274258097,110095.8996
2/13/2009,0.962772784,83183.56857
2/14/2009,0.339802159,29358.90655
2/15/2009,0.396435852,34252.05765
2/16/2009,0.651287472,56271.23756
2/17/2009,0,0
2/18/2009,1.387525483,119882.2018
2/19/2009,1.387525483,119882.2018
2/20/2009,1.982179262,171260.2882
2/21/2009,0.792871705,68504.11529
2/22/2009,0.20671298,17860.00149
2/23/2009,0.991089631,85630.14412
2/24/2009,0,0
2/25/2009,0,0
2/26/2009,1.047723324,90523.29521
2/27/2009,0.011326739,978.6302185
2/28/2009,0.368119006,31805.4821
3/1/2009,0,0
3/2/2009,1.50079287,129668.504
3/3/2009,2.605149887,225084.9503
3/4/2009,1.529109716,132115.0795
3/5/2009,2.010496109,173706.8638
3/6/2009,2.038812955,176153.4393
3/7/2009,1.359208637,117435.6262
3/8/2009,0.679604318,58717.81311
3/9/2009,0.368119006,31805.4821
3/10/2009,1.472476023,127221.9284
3/11/2009,1.925545569,166367.1371
3/12/2009,4.983765002,430597.2961
3/13/2009,4.24752699,366986.3319
3/14/2009,0.311485313,26912.33101
3/15/2009,0.453069546,39145.20874
3/16/2009,0.707921165,61164.38866
3/17/2009,1.104357017,95416.4463
3/18/2009,0.991089631,85630.14412
3/19/2009,0.622970625,53824.66202
3/20/2009,0,0
3/21/2009,0.203881296,17615.34393
3/22/2009,0.453069546,39145.20874
3/23/2009,2.038812955,176153.4393
3/24/2009,3.624556365,313161.6699
3/25/2009,4.24752699,366986.3319
3/26/2009,3.709506905,320501.3966
3/27/2009,3.794457444,327841.1232
3/28/2009,1.670693949,144347.9572
3/29/2009,0.934455938,80736.99303
3/30/2009,0.538020085,46484.93538
3/31/2009,4.615645996,398791.814
4/1/2009,2.378615114,205512.3459
4/2/2009,3.029902586,261783.5834
4/3/2009,3.114853126,269123.3101
4/4/2009,4.049309064,349860.3031
4/5/2009,4.219210143,364539.7564
4/6/2009,2.973268893,256890.4324
4/7/2009,3.822774291,330287.6987
4/8/2009,8.636638213,746205.5416
4/9/2009,8.098618128,699720.6062
4/10/2009,6.767726337,584731.5556
4/11/2009,6.201389405,535800.0446
4/12/2009,5.465151394,472189.0804
4/13/2009,5.040398695,435490.4472
4/14/2009,1.897228722,163920.5616
4/15/2009,1.557426563,134561.655
4/16/2009,7.16416219,618983.6132
4/17/2009,4.927131308,425704.145
4/18/2009,6.173072559,533353.4691
4/19/2009,4.219210143,364539.7564
4/20/2009,4.955448155,428150.7206
4/21/2009,1.359208637,117435.6262
4/22/2009,2.520199347,217745.2236
4/23/2009,5.040398695,435490.4472
4/24/2009,6.258023099,540693.1957
4/25/2009,5.606735627,484421.9582
4/26/2009,4.134259604,357200.0298
4/27/2009,6.144755712,530906.8935
4/28/2009,5.776636706,499101.4114
4/29/2009,6.711092644,579838.4045
4/30/2009,5.408517701,467295.9293
5/1/2009,5.74831986,496654.8359
5/2/2009,3.567922672,308268.5188
5/3/2009,1.897228722,163920.5616
5/4/2009,4.842180769,418364.4184
5/5/2009,6.711092644,579838.4045
5/6/2009,4.360794376,376772.6341
