date,Outflows_acft,LO_Outflows_cmd
3/27/2009,2582.798842,3185830.716
3/28/2009,1582.809926,1952364.387
3/29/2009,3364.067756,4149510.296
3/30/2009,6466.617455,7976443.298
3/31/2009,5092.704083,6281748.632
4/1/2009,2529.620647,3120236.475
4/2/2009,3431.665328,4232890.549
4/3/2009,5186.544201,6397498.541
4/4/2009,3891.117318,4799615.389
4/5/2009,2611.659355,3221429.582
4/6/2009,5613.449194,6924077.311
4/7/2009,8048.10286,9927173.915
4/8/2009,6392.715968,7885287.292
4/9/2009,7411.604806,9142066.297
4/10/2009,7535.869777,9295344.653
4/11/2009,7092.007522,8747849.438
4/12/2009,7031.132132,8672760.862
4/13/2009,8819.312456,10878445.53
4/14/2009,8642.408559,10660238.11
4/15/2009,5201.082749,6415431.55
4/16/2009,7811.848781,9635759.234
4/17/2009,6588.522334,8126810.528
4/18/2009,4574.087221,5642045.105
4/19/2009,3354.033206,4137132.879
4/20/2009,5184.700478,6395224.345
4/21/2009,2982.232386,3678524.004
4/22/2009,4104.819049,5063212.2
4/23/2009,4951.484483,6107557.08
4/24/2009,5622.731623,6935527.003
4/25/2009,4595.173143,5668054.168
4/26/2009,4141.989166,5109060.797
4/27/2009,6584.00249,8121235.392
4/28/2009,7877.505287,9716745.221
4/29/2009,7307.672925,9013868.399
4/30/2009,8363.059771,10315666.97
5/1/2009,8194.186753,10107365.48
5/2/2009,6788.717142,8373746.82
5/3/2009,4773.606894,5888148.632
5/4/2009,7445.663428,9184076.926
5/5/2009,9641.744727,11892899.29
5/6/2009,10110.02289,12470511.03
5/7/2009,10091.8746,12448125.48
5/8/2009,10166.55167,12540238.15
5/9/2009,9241.836458,11399620.43
5/10/2009,8601.115104,10609303.46
5/11/2009,8080.454383,9967078.873
5/12/2009,7720.948643,9523635.733
5/13/2009,6308.41743,7781306.732
5/14/2009,5089.038599,6277227.331
5/15/2009,4584.641167,5655063.186
5/16/2009,3287.667405,4055271.991
5/17/2009,1770.805752,2184253.479
5/18/2009,1268.689419,1564903.024
5/19/2009,0,0
5/20/2009,0,0
5/21/2009,0,0
5/22/2009,0,0
5/23/2009,0,0
5/24/2009,0,0
5/25/2009,0,0
5/26/2009,0,0
