date,NH4_Load_mg
7/9/2017,342508392.5
7/10/2017,468276299.4
7/11/2017,427491074.9
7/12/2017,464970584.7
7/13/2017,580684488.2
7/14/2017,567623169.4
7/15/2017,500973796.1
7/16/2017,464276160.9
7/17/2017,490093868
7/18/2017,543345351.7
7/19/2017,586959724.9
7/20/2017,574547845
7/21/2017,642178322.1
7/22/2017,598769216.3
7/23/2017,517041199.1
7/24/2017,467600922.9
7/25/2017,481245399.5
7/26/2017,508868292.1
7/27/2017,424379811.7
7/28/2017,384362015.1
7/29/2017,401480188.1
7/30/2017,365073573.6
7/31/2017,618762683.8
8/1/2017,1553655154
8/2/2017,1797808672
8/3/2017,1655753473
8/4/2017,1400133821
8/5/2017,828225565.2
8/6/2017,699457464.8
8/7/2017,646701995.5
8/8/2017,409254931.8
8/9/2017,351187561.1
8/10/2017,458561736.9
8/11/2017,343146766.7
8/12/2017,424473695.3
8/13/2017,593809860.3
8/14/2017,812512920.9
8/15/2017,1048878582
8/16/2017,726403578.6
8/17/2017,586677768.6
8/18/2017,627770107
8/19/2017,579736655.8
8/20/2017,361927711.6
8/21/2017,791332750.5
8/22/2017,582328098.2
8/23/2017,305599133.8
8/24/2017,376884641.8
8/25/2017,897652935.6
8/26/2017,856740240.4
8/27/2017,846338288.6
8/28/2017,936272628.5
8/29/2017,1262546862
8/30/2017,1030941137
8/31/2017,860182301.1
9/1/2017,902010349.4
9/2/2017,1535015928
9/3/2017,1226084656
9/4/2017,1038351796
9/5/2017,1061051878
9/6/2017,1587660849
9/7/2017,2456975083
9/8/2017,2587215608
9/9/2017,2839472511
9/10/2017,6595868052
9/11/2017,11961812075
9/12/2017,12092439676
9/13/2017,11902436387
9/14/2017,10149855212
9/15/2017,9724797595
9/16/2017,7955319042
9/17/2017,7433060612
9/18/2017,6070076601
9/19/2017,5109854968
9/20/2017,4051325777
9/21/2017,3536293878
9/22/2017,3098757935
9/23/2017,2807536831
9/24/2017,2346308778
9/25/2017,1718555404
9/26/2017,1523335737
9/27/2017,1462500867
9/28/2017,1548286000
9/29/2017,1824406983
9/30/2017,2447384370
10/1/2017,2459386511
10/2/2017,2822599805
10/3/2017,3045696132
10/4/2017,3575032698
10/5/2017,4711492171
10/6/2017,4054864589
10/7/2017,3449334193
10/8/2017,2983558943
10/9/2017,3053333377
10/10/2017,2737882402
10/11/2017,2393926537
10/12/2017,2083203325
10/13/2017,1857915070
10/14/2017,1713937620
10/15/2017,1728445452
10/16/2017,1790013597
10/17/2017,1681959583
10/18/2017,1533934867
10/19/2017,1519840215
10/20/2017,1327100070
10/21/2017,1291174799
10/22/2017,1177630507
10/23/2017,1184514493
10/24/2017,1294831998
10/25/2017,1264222922
10/26/2017,1141088153
10/27/2017,1062088754
10/28/2017,1703788545
10/29/2017,5293912232
10/30/2017,5383805240
10/31/2017,4587106399
11/1/2017,3260394772
11/2/2017,2351361716
11/3/2017,2018441741
11/4/2017,1928477087
11/5/2017,1780867513
11/6/2017,1511269031
11/7/2017,1413822743
11/8/2017,1037853613
11/9/2017,1114483096
11/10/2017,1167416154
11/11/2017,1339891574
11/12/2017,1121807706
11/13/2017,2065979746
11/14/2017,2309450121
11/15/2017,2120572510
11/16/2017,1710635741
11/17/2017,1397309127
11/18/2017,962787843.2
11/19/2017,904142311.5
11/20/2017,913799122.6
11/21/2017,1174025784
11/22/2017,1421084315
11/23/2017,1123264373
11/24/2017,1523099931
11/25/2017,1244017193
11/26/2017,1150694535
11/27/2017,1084856553
11/28/2017,1158141212
11/29/2017,1146982641
11/30/2017,1180448282
12/1/2017,649895436.4
12/2/2017,838225323.1
12/3/2017,683647057.4
12/4/2017,612094496.8
12/5/2017,748597125
