date,Inflows_cmd
2017-01-06,974471.0400673922
2017-01-07,1057385.4853294655
2017-01-08,1123443.0250779463
2017-01-09,938628.7083149761
2017-01-10,590994.7889497344
2017-01-11,1016283.0161526304
2017-01-12,1467651.7386784516
2017-01-13,1057728.005905937
2017-01-14,926958.5429594116
2017-01-15,891727.8550935555
2017-01-16,982911.7257019205
2017-01-17,981052.3282867774
2017-01-18,905330.8151306493
2017-01-19,1160924.5624463416
2017-01-20,1198699.6888802878
2017-01-21,1212131.3886291462
2017-01-22,1238603.3360394626
2017-01-23,1634483.725176561
2017-01-24,1406193.7609569023
2017-01-25,1297516.8751929235
2017-01-26,1095600.9953617349
2017-01-27,1192436.455481914
2017-01-28,726657.4029887428
2017-01-29,1499212.5632249475
2017-01-30,1346008.0025193973
2017-01-31,1107907.270359324
2017-02-01,1154734.7263143596
2017-02-02,1263851.995676662
2017-02-03,1156104.808620254
2017-02-04,1615302.5728940337
2017-02-05,1724493.2395227305
2017-02-06,1631719.0948093086
2017-02-07,1514650.454921722
2017-02-08,1585405.4197189845
2017-02-09,1651316.164934684
2017-02-10,1404309.897786302
2017-02-11,1071942.6098295911
2017-02-12,1127528.8062401693
2017-02-13,1071428.828964883
2017-02-14,1271558.7086473189
2017-02-15,1486563.7676508876
2017-02-16,1970985.725806405
2017-02-17,1339475.6458109405
2017-02-18,1895019.5550956528
2017-02-19,1722854.033906742
2017-02-20,1738022.8022934364
2017-02-21,1832460.6183782944
2017-02-22,1845133.8797078251
2017-02-23,2996761.4550784566
2017-02-24,2141169.520802861
2017-02-25,2085387.5983485903
2017-02-26,2060970.7743971092
2017-02-27,1753852.146077607
2017-02-28,1804936.6434831012
2017-03-01,1855947.7436221985
2017-03-02,2111370.230649656
2017-03-03,1991218.9055738088
2017-03-04,2039098.3890137235
2017-03-05,2024736.9905573
2017-03-06,2022584.00407661
2017-03-07,1307816.95824259
2017-03-08,1588585.96792909
2017-03-09,1725520.8012521446
2017-03-10,2032370.30626157
2017-03-11,1922519.06423539
2017-03-12,2013580.60606644
2017-03-13,2072176.09039889
2017-03-14,2024296.6069589744
2017-03-15,2114599.710370694
2017-03-16,2195043.1143310666
2017-03-17,1903925.09008397
2017-03-18,1819811.82280424
2017-03-19,1769338.96928531
2017-03-20,1718866.11576637
2017-03-21,1668393.26224744
2017-03-22,1617944.87448397
2017-03-23,1567472.02096504
2017-03-24,1516999.16744611
2017-03-25,1466526.31392718
2017-03-26,1416053.46040825
2017-03-27,1165866.64504975
2017-03-28,1068077.02046653
2017-03-29,999523.97366089
2017-03-30,984281.8080078146
2017-03-31,747012.911533459
2017-04-01,846270.481444416
2017-04-02,722204.635494586
2017-04-03,759661.70710752
2017-04-04,765019.707553786
2017-04-05,1063575.3214614536
2017-04-06,895544.5129456894
2017-04-07,772506.2287252804
2017-04-08,719170.881817248
2017-04-09,753374.007953683
2017-04-10,728614.6634257344
2017-04-11,720907.950455079
2017-04-12,671071.2065781694
2017-04-13,800862.0393062019
2017-04-14,969259.834153901
2017-04-15,1029372.1953250181
2017-04-16,907043.4180130181
2017-04-17,1008013.590806342
2017-04-18,947314.051504128
2017-04-19,951277.5038890371
2017-04-20,989835.5344977796
2017-04-21,675426.111050477
2017-04-22,731868.6089022339
2017-04-23,1069814.089104365
2017-04-24,1148300.2326277439
2017-04-25,797926.148650714
2017-04-26,672637.0149277633
2017-04-27,895593.4444566149
2017-04-28,767980.0639647361
2017-04-29,773729.5164984
2017-04-30,805730.724643219
2017-05-01,693481.838581728
2017-05-02,1104555.461860973
2017-05-03,2387906.6646411642
2017-05-04,1557294.2666926847
2017-05-05,1464079.738380941
2017-05-06,1215287.471083795
2017-05-07,698864.304783456
2017-05-08,453154.72267457296
2017-05-09,423575.624320531
2017-05-10,564229.252473869
2017-05-11,1021445.2905551994
2017-05-12,725458.5809710852
2017-05-13,1076370.911568288
2017-05-14,775148.530315219
2017-05-15,784200.859836307
2017-05-16,548889.223798944
2017-05-17,628794.381139142
2017-05-18,984159.4792305019
2017-05-19,803724.532695302
2017-05-20,875678.319510221
2017-05-21,1138831.985263796
2017-05-22,737495.732658586
2017-05-23,740186.9657594496
2017-05-24,723721.493007302
2017-05-25,1465498.7521977595
2017-05-26,864986.7038483521
2017-05-27,902321.527208774
2017-05-28,660942.3838167359
2017-05-29,724137.4301761149
2017-05-30,458365.92858806404
2017-05-31,493425.356165683
2017-06-01,511016.23434314854
2017-06-02,1676687.0124307936
2017-06-03,1439883.1062286273
2017-06-04,2207275.992062265
2017-06-05,5057193.982855392
2017-06-06,6613093.70148672
2017-06-07,12971009.573500615
2017-06-08,24177940.315140326
2017-06-09,20785494.19696848
2017-06-10,15206396.718589168
2017-06-11,11177106.985731054
2017-06-12,5495693.718007982
2017-06-13,4808744.236134721
2017-06-14,4570203.120376316
2017-06-15,6143620.319918722
2017-06-16,10667729.957003888
2017-06-17,13028039.249483459
2017-06-18,12880584.141311586
2017-06-19,15317446.782633007
2017-06-20,16553750.337658996
2017-06-21,14496449.426581241
2017-06-22,12499774.657539323
2017-06-23,9892287.837623116
2017-06-24,11250748.909672879
2017-06-25,13047465.059320603
2017-06-26,14024138.017379617
2017-06-27,11132530.379278561
2017-06-28,9842769.14856722
2017-06-29,10058018.865125414
2017-06-30,11207150.933438882
2017-07-01,11194355.343332049
2017-07-02,10206403.672004864
2017-07-03,9380562.096371565
2017-07-04,8706359.273094205
2017-07-05,6490324.5405764
2017-07-06,5439006.562601604
2017-07-07,4693437.1306404285
2017-07-08,4422332.094361571
2017-07-09,4187362.9789006845
2017-07-10,4763458.122773814
2017-07-11,4047908.172765004
2017-07-12,4631954.687163421
2017-07-13,5713634.667667049
2017-07-14,5556173.065511044
2017-07-15,4817184.921769251
2017-07-16,4600760.848948862
2017-07-17,4921849.423637399
2017-07-18,5205847.913044935
2017-07-19,5646182.579857209
2017-07-20,6039249.407116131
2017-07-21,6010942.52804613
2017-07-22,6180343.4188677855
2017-07-23,5869285.803918831
2017-07-24,5606988.43960645
2017-07-25,6044558.476051472
2017-07-26,6030392.803638736
2017-07-27,5135973.715444319
2017-07-28,4348641.238908823
2017-07-29,4595060.327926116
2017-07-30,4226581.584906912
2017-07-31,6496392.047931075
2017-08-01,13441045.667444244
2017-08-02,14308552.424630022
2017-08-03,15271426.696608234
2017-08-04,13789413.55947335
2017-08-05,10138731.392395869
2017-08-06,9303250.309110371
2017-08-07,9791293.199074328
2017-08-08,8475696.130594695
2017-08-09,7802398.540269451
2017-08-10,8389160.75352418
2017-08-11,7992986.775321548
2017-08-12,8576348.24856701
2017-08-13,9161642.516494004
2017-08-14,12124665.694789808
2017-08-15,12904193.595332792
2017-08-16,11287643.268910175
2017-08-17,10457593.583337333
2017-08-18,9847613.368148781
2017-08-19,9201325.971854014
2017-08-20,7316117.18469878
2017-08-21,9673637.381055659
2017-08-22,8455144.896006279
2017-08-23,6283760.167207353
2017-08-24,7571319.479927076
2017-08-25,9415034.345818087
2017-08-26,9923359.34706036
2017-08-27,8685392.120662924
2017-08-28,9614430.252836635
2017-08-29,10734570.40092716
2017-08-30,10579261.785251845
2017-08-31,10342800.258707747
2017-09-01,10614932.856716024
2017-09-02,13426806.597765112
2017-09-03,12227935.648596596
2017-09-04,11299851.680885917
2017-09-05,11799613.667716362
2017-09-06,13362217.003344376
2017-09-07,16094283.450075133
2017-09-08,16861431.678354137
2017-09-09,18115497.371845845
2017-09-10,44486401.21210289
2017-09-11,82876523.3411069
2017-09-12,103183369.49820893
2017-09-13,105652306.74494159
2017-09-14,104535616.26837124
2017-09-15,98108633.56868708
2017-09-16,88691079.25005636
2017-09-17,84693741.79383214
2017-09-18,75645375.72512895
2017-09-19,67291934.97457992
2017-09-20,58560327.04184852
2017-09-21,55996071.211834356
2017-09-22,53806508.42672694
2017-09-23,53696730.58196717
2017-09-24,51694184.03161429
2017-09-25,47537965.95941715
2017-09-26,44992597.692619964
2017-09-27,43757982.27472084
2017-09-28,43593474.534991704
2017-09-29,44092918.46700121
2017-09-30,49930594.51486257
2017-10-01,48013286.65654077
2017-10-02,53037745.4585874
2017-10-03,54348302.581441745
2017-10-04,57198514.16130043
2017-10-05,59392260.590592
2017-10-06,56391339.957084954
2017-10-07,47459528.74740467
2017-10-08,44193717.379506305
2017-10-09,42070334.46292453
2017-10-10,37259119.18548813
2017-10-11,33265598.387116
2017-10-12,29639014.98916902
2017-10-13,26316296.274065014
2017-10-14,23876008.426978853
2017-10-15,23283154.24061398
2017-10-16,22840764.450342868
2017-10-17,21512543.05204462
2017-10-18,19739925.67152734
2017-10-19,19106776.3859159
2017-10-20,16881860.584165253
2017-10-21,16112804.026960162
2017-10-22,14347061.523727832
2017-10-23,14185978.989763403
2017-10-24,14430049.366256302
2017-10-25,15571352.392821793
2017-10-26,13177500.54960327
2017-10-27,12854895.098076062
2017-10-28,16530581.267236112
2017-10-29,35159957.36681419
2017-10-30,32936754.167945918
2017-10-31,29329841.237390682
