date,Mean_NH4,NH4
12/17/2021,0.013520408,13.52040816
12/18/2021,0.013530612,13.53061224
12/19/2021,0.013540816,13.54081633
12/20/2021,0.01355102,13.55102041
12/21/2021,0.013561224,13.56122449
12/22/2021,0.013571429,13.57142857
12/23/2021,0.013581633,13.58163265
12/24/2021,0.013591837,13.59183673
12/25/2021,0.013602041,13.60204082
12/26/2021,0.013612245,13.6122449
12/27/2021,0.013622449,13.62244898
12/28/2021,0.013632653,13.63265306
12/29/2021,0.013642857,13.64285714
12/30/2021,0.013653061,13.65306122
12/31/2021,0.013663265,13.66326531
1/1/2022,0.013673469,13.67346939
1/2/2022,0.013683673,13.68367347
1/3/2022,0.013693878,13.69387755
1/4/2022,0.013704082,13.70408163
1/5/2022,0.013673469,13.67346939
1/6/2022,0.013620408,13.62040816
1/7/2022,0.013567347,13.56734694
1/8/2022,0.013514286,13.51428571
1/9/2022,0.013461224,13.46122449
1/10/2022,0.013408163,13.40816327
1/11/2022,0.013355102,13.35510204
1/12/2022,0.013302041,13.30204082
1/13/2022,0.01324898,13.24897959
1/14/2022,0.013195918,13.19591837
1/15/2022,0.013142857,13.14285714
1/16/2022,0.013089796,13.08979592
1/17/2022,0.013036735,13.03673469
1/18/2022,0.012983673,12.98367347
1/19/2022,0.012930612,12.93061224
1/20/2022,0.012877551,12.87755102
1/21/2022,0.01282449,12.8244898
1/22/2022,0.012771429,12.77142857
1/23/2022,0.012718367,12.71836735
1/24/2022,0.012665306,12.66530612
1/25/2022,0.012612245,12.6122449
1/26/2022,0.012559184,12.55918367
1/27/2022,0.012506122,12.50612245
1/28/2022,0.012453061,12.45306122
1/29/2022,0.0124,12.4
1/30/2022,0.012346939,12.34693878
1/31/2022,0.012293878,12.29387755
2/1/2022,0.012240816,12.24081633
2/2/2022,0.012187755,12.1877551
2/3/2022,0.012134694,12.13469388
2/4/2022,0.012081633,12.08163265
2/5/2022,0.012028571,12.02857143
2/6/2022,0.01197551,11.9755102
2/7/2022,0.011922449,11.92244898
2/8/2022,0.011869388,11.86938776
2/9/2022,0.011852041,11.85204082
2/10/2022,0.011836735,11.83673469
2/11/2022,0.011821429,11.82142857
2/12/2022,0.011806122,11.80612245
2/13/2022,0.011790816,11.79081633
2/14/2022,0.01177551,11.7755102
2/15/2022,0.011760204,11.76020408
2/16/2022,0.011744898,11.74489796
2/17/2022,0.011729592,11.72959184
2/18/2022,0.011714286,11.71428571
2/19/2022,0.01169898,11.69897959
