date,Load_mg
10/10/2011,204848510.4
10/11/2011,360901918.7
10/12/2011,383223239.1
10/13/2011,369968180.7
10/14/2011,339841750.4
10/15/2011,313993524.5
10/16/2011,280420749.9
10/17/2011,262601361.3
10/18/2011,273601697.8
10/19/2011,319067030
10/20/2011,271966566.4
10/21/2011,227402808.8
10/22/2011,196245117.8
10/23/2011,178054067.8
10/24/2011,160163162.9
10/25/2011,148503881.7
10/26/2011,126850734
10/27/2011,106447151.4
10/28/2011,89951023.52
10/29/2011,99372137.47
10/30/2011,85190334
10/31/2011,70841425.02
11/1/2011,59840165.35
11/2/2011,43116557.21
11/3/2011,29376272.02
11/4/2011,24785215.79
11/5/2011,17896191.19
11/6/2011,10979323.43
11/7/2011,8064248.426
11/8/2011,9425146.228
11/9/2011,8773895.983
11/10/2011,8105231.169
11/11/2011,8359493.207
11/12/2011,9374639.867
11/13/2011,7761271.096
11/14/2011,7245385.12
11/15/2011,7455389.721
11/16/2011,7989316.638
11/17/2011,8437405.168
11/18/2011,8334085.236
11/19/2011,8917086.867
11/20/2011,8728305.261
11/21/2011,8655873.766
11/22/2011,8896260.02
11/23/2011,9121851.347
11/24/2011,10056387.26
11/25/2011,10042059.36
11/26/2011,10226725.45
11/27/2011,10249342.7
11/28/2011,7193457.337
11/29/2011,4534384.276
11/30/2011,6078974.601
12/1/2011,7249461.995
12/2/2011,6633592.661
12/3/2011,7061937.623
12/4/2011,7549325.989
12/5/2011,9522079.79
12/6/2011,8431123.145
12/7/2011,7878315.779
12/8/2011,5340944.896
12/9/2011,8428034.917
12/10/2011,15627617.41
12/11/2011,17626770.49
12/12/2011,14512304.67
12/13/2011,12746949.81
12/14/2011,12098752.67
12/15/2011,4769903.521
12/16/2011,6755665.794
12/17/2011,6616099.32
12/18/2011,6280159.297
12/19/2011,4944697.923
12/20/2011,5201878.956
12/21/2011,6313388.197
12/22/2011,6165926.099
12/23/2011,5364363.29
12/24/2011,4494797.041
12/25/2011,3512751.228
12/26/2011,3858820.213
12/27/2011,3380716.536
12/28/2011,2445789.584
12/29/2011,2727880.181
12/30/2011,2424794.034
12/31/2011,2036763.657
1/1/2012,3914788.25
1/2/2012,40508.30083
1/3/2012,2611871.87
1/4/2012,2432581.134
1/5/2012,3047112.155
1/6/2012,3076163.841
1/7/2012,2093337.134
1/8/2012,2000316.671
1/9/2012,2026079.112
1/10/2012,1746085.667
1/11/2012,2048213.106
1/12/2012,2130589.13
1/13/2012,2035451.244
1/14/2012,2221863.699
1/15/2012,2549914.354
1/16/2012,980858.3498
1/17/2012,1931250.63
1/18/2012,2954268.108
1/19/2012,5754567.974
1/20/2012,6222742.573
1/21/2012,6050480.587
1/22/2012,5604652.484
1/23/2012,4708473.784
1/24/2012,5576510.574
1/25/2012,6350551.68
1/26/2012,6249954.26
1/27/2012,6954019.111
1/28/2012,7802089.048
1/29/2012,6343318.903
1/30/2012,6377331.197
1/31/2012,6232988.132
2/1/2012,6465971.328
2/2/2012,8941440.582
2/3/2012,8482940.441
2/4/2012,8633636.912
2/5/2012,8906250.786
2/6/2012,9507742.258
2/7/2012,7466847.908
2/8/2012,10333325.89
2/9/2012,10083178.75
2/10/2012,7932710.843
2/11/2012,9027392.975
2/12/2012,12140171.74
2/13/2012,10189447.33
2/14/2012,14269274.75
2/15/2012,13211609.48
2/16/2012,12428342.06
2/17/2012,13650238.78
2/18/2012,11941186.72
2/19/2012,13234629.07
2/20/2012,10946298.45
2/21/2012,10146655.36
2/22/2012,9685961.271
2/23/2012,10419187.17
2/24/2012,11583766.29
2/25/2012,10059602.15
2/26/2012,8395979.849
2/27/2012,7398649.615
2/28/2012,6365615.455
2/29/2012,7390821.167
3/1/2012,7519558.12
3/2/2012,10082698.28
3/3/2012,6747229.513
3/4/2012,8347920.402
3/5/2012,9301607.189
3/6/2012,10290862.61
3/7/2012,8989151.111
3/8/2012,8134258.478
3/9/2012,8243640.887
3/10/2012,11661111.07
3/11/2012,14197144.04
3/12/2012,18783001.61
3/13/2012,15749090.72
3/14/2012,12249688.15
3/15/2012,7945864.053
3/16/2012,6171755.519
3/17/2012,10265655.31
3/18/2012,7468412.109
3/19/2012,1629793.203
3/20/2012,4011136.072
3/21/2012,6241870.145
3/22/2012,4236223.504
3/23/2012,715262.7046
3/24/2012,3066101.6
3/25/2012,3187523.747
3/26/2012,1415855.008
3/27/2012,786679.8525
3/28/2012,484577.5604
3/29/2012,1643007.367
3/30/2012,967599.4132
3/31/2012,1153797.111
4/1/2012,1406775.906
4/2/2012,767983.6989
4/3/2012,926816.7115
4/4/2012,1279257.226
4/5/2012,746534.0817
4/6/2012,1069791.249
4/7/2012,670239.1961
4/8/2012,675855.2928
4/9/2012,613572.2075
4/10/2012,466757.6652
4/11/2012,299788.9326
4/12/2012,965160.0027
4/13/2012,760333.5018
4/14/2012,1188951.728
4/15/2012,1932871.923
4/16/2012,1524017.065
4/17/2012,1192143.88
4/18/2012,375865.1993
4/19/2012,224189.958
4/20/2012,1456875.447
4/21/2012,5733588.204
4/22/2012,14492901.44
4/23/2012,5736185.733
4/24/2012,13229175.41
4/25/2012,13590641.53
4/26/2012,14002486.59
4/27/2012,9464489.843
4/28/2012,9278380.379
4/29/2012,7826200.784
4/30/2012,6907524.476
5/1/2012,4257227.25
5/2/2012,9861630.656
5/3/2012,3533207.046
5/4/2012,4695097.779
5/5/2012,679312.6711
5/6/2012,7192116.924
5/7/2012,3304884.612
5/8/2012,4204617.663
5/9/2012,10782992.05
5/10/2012,8200665.109
5/11/2012,4907542.269
5/12/2012,13011357.38
5/13/2012,14200837.39
5/14/2012,16962688.17
5/15/2012,23123220.76
5/16/2012,38481008.5
5/17/2012,37358770.44
5/18/2012,40130219.63
5/19/2012,52820733.37
5/20/2012,41917029.52
5/21/2012,41517093.27
5/22/2012,33777981.21
5/23/2012,55476237.52
5/24/2012,33319775.01
5/25/2012,50036984.2
5/26/2012,57515326.82
5/27/2012,48652081.24
5/28/2012,57537340.76
5/29/2012,58119757.5
5/30/2012,57946571.76
5/31/2012,70587174.45
6/1/2012,67669881.27
6/2/2012,67024732.58
6/3/2012,85445335.39
6/4/2012,76990617.6
6/5/2012,53546450.38
6/6/2012,38299853.28
6/7/2012,38508288.23
6/8/2012,39974186.83
6/9/2012,52945541.72
6/10/2012,46872899.35
6/11/2012,40983252.44
6/12/2012,52570540.4
