date,Stage_ft,Stage_m,Storage_acft,Storage_m3,SA_acres
3/5/2022,14.3825,4.383786,3701420,4565627542,442043.5
3/6/2022,14.3525,4.374642,3687740,4548753535,441569.5
3/7/2022,14.325,4.36626,3675200,4533285696,441135
3/8/2022,14.3125,4.36245,3669500,4526254860,440937.5
3/9/2022,14.2825,4.353306,3655820,4509380854,440463.5
3/10/2022,14.27,4.349496,3650120,4502350018,440266
3/11/2022,14.245,4.341876,3638720,4488288346,439871
3/12/2022,14.215,4.332732,3625040,4471414339,439397
3/13/2022,14.135,4.308348,3588560,4426416989,438133
3/14/2022,14.1375,4.30911,3589700,4427823156,438172.5
3/15/2022,14.1425,4.310634,3591980,4430635490,438251.5
3/16/2022,14.1875,4.32435,3612500,4455946500,438962.5
3/17/2022,14.175,4.32054,3606800,4448915664,438765
3/18/2022,14.1775,4.321302,3607940,4450321831,438804.5
3/19/2022,14.16,4.315968,3599960,4440478661,438528
3/20/2022,14.1375,4.30911,3589700,4427823156,438172.5
3/21/2022,14.0875,4.29387,3566900,4399699812,437382.5
3/22/2022,14.0575,4.284726,3553220,4382825806,436908.5
3/23/2022,14.03,4.276344,3540680,4367357966,436474
3/24/2022,14.0175,4.272534,3534980,4360327130,436276.5
3/25/2022,13.9625,4.25577,3511250,4331056650,434590
3/26/2022,13.93,4.245864,3497600,4314219648,433368
3/27/2022,13.88,4.230624,3476600,4288316568,431488
3/28/2022,13.865,4.226052,3470300,4280545644,430924
3/29/2022,13.8425,4.219194,3460850,4268889258,430078
3/30/2022,13.8225,4.213098,3452450,4258528026,429326
3/31/2022,13.7875,4.20243,3437750,4240395870,428010
4/1/2022,13.7525,4.191762,3423050,4222263714,426694
4/2/2022,13.73,4.184904,3413600,4210607328,425848
4/3/2022,13.74,4.187952,3417800,4215787944,426224
4/4/2022,13.735,4.186428,3415700,4213197636,426036
4/5/2022,13.745,4.189476,3419900,4218378252,426412
4/6/2022,13.725,4.18338,3411500,4208017020,425660
4/7/2022,13.6925,4.173474,3397850,4191180018,424438
4/8/2022,13.6275,4.153662,3370550,4157506014,421994
4/9/2022,13.56,4.133088,3342200,4122536856,419456
4/10/2022,13.525,4.12242,3327500,4104404700,418140
4/11/2022,13.51,4.117848,3321200,4096633776,417576
4/12/2022,13.4775,4.107942,3307595,4079852281,416201
4/13/2022,13.445,4.098036,3294010,4063095455,414758
4/14/2022,13.415,4.088892,3281470,4047627616,413426
4/15/2022,13.415,4.088892,3281470,4047627616,413426
4/16/2022,13.4125,4.08813,3280425,4046338629,413315
4/17/2022,13.4075,4.086606,3278335,4043760656,413093
4/18/2022,13.3825,4.078986,3267885,4030870790,411983
4/19/2022,13.335,4.064508,3248030,4006380044,409874
4/20/2022,13.3,4.05384,3233400,3988334232,408320
4/21/2022,13.2625,4.04241,3217725,3968999433,406655
4/22/2022,13.2125,4.02717,3196825,3943219701,404435
