date,Load_mg
6/5/2009,190114847.1
6/6/2009,199004454.9
6/7/2009,156943600.9
6/8/2009,149881915.4
6/9/2009,151190087.1
6/10/2009,137309453
6/11/2009,99071079.69
6/12/2009,89631812.01
6/13/2009,85541798.28
6/14/2009,71244524.56
6/15/2009,47006961.2
6/16/2009,47890126.04
6/17/2009,56796577.91
6/18/2009,56037382.22
6/19/2009,52718954.92
6/20/2009,50211418.28
6/21/2009,44380787.21
6/22/2009,38522667.11
6/23/2009,43120873.61
6/24/2009,52494919.09
6/25/2009,55449759.63
6/26/2009,54783603.13
6/27/2009,52664917.05
6/28/2009,41510117.59
6/29/2009,47084519.39
6/30/2009,68824486.21
7/1/2009,80011801.82
7/2/2009,99874190.83
7/3/2009,134003775.8
7/4/2009,127877890.2
7/5/2009,123827079.4
7/6/2009,110528559
7/7/2009,96914337.72
7/8/2009,81651073.17
7/9/2009,66473431.25
7/10/2009,72297741.46
7/11/2009,70751907.52
7/12/2009,109664884.5
7/13/2009,112322337.9
7/14/2009,108669478.3
7/15/2009,105057094.4
7/16/2009,97615106.59
7/17/2009,83724570.41
7/18/2009,82024802.64
7/19/2009,81006519.08
7/20/2009,109807815.3
7/21/2009,104286097.4
7/22/2009,86213407.73
7/23/2009,72839510.77
7/24/2009,70190099.44
7/25/2009,64810948.34
7/26/2009,61280640.14
7/27/2009,87059294.1
7/28/2009,75809399.04
7/29/2009,71768368.19
7/30/2009,66876261.79
7/31/2009,60780961.34
8/1/2009,54628562.7
8/2/2009,45589430.01
8/3/2009,42800891.71
8/4/2009,45953233.35
8/5/2009,40346246.65
8/6/2009,16319862.96
8/7/2009,42922462.74
8/8/2009,42266350.6
8/9/2009,39863313.61
8/10/2009,40778215.79
8/11/2009,37211606.69
8/12/2009,41004349.26
8/13/2009,35468760.64
8/14/2009,31363569.39
8/15/2009,37377848
8/16/2009,37425239.92
8/17/2009,30714700.86
8/18/2009,26636883.3
8/19/2009,25172545.51
8/20/2009,19411915.62
8/21/2009,15682636.63
8/22/2009,14054723.12
8/23/2009,15659845.03
8/24/2009,18520227.37
8/25/2009,24219931.71
8/26/2009,27810763.06
8/27/2009,26208535.1
8/28/2009,24605140.37
8/29/2009,21209108.27
8/30/2009,21594251.69
8/31/2009,25952341.37
9/1/2009,33223757.86
9/2/2009,34048226.45
9/3/2009,56831346.67
9/4/2009,53732221.08
9/5/2009,40395504.96
9/6/2009,39865291.84
9/7/2009,45067528.14
9/8/2009,48490148.7
9/9/2009,38568135.32
9/10/2009,36891628.16
9/11/2009,47360266.64
9/12/2009,40821684.78
9/13/2009,31715325.79
9/14/2009,40643098.05
9/15/2009,35142444.78
9/16/2009,25011372.57
9/17/2009,24586627.13
9/18/2009,23699830.53
9/19/2009,21228308.64
9/20/2009,19661452.81
9/21/2009,18049776.06
9/22/2009,14616023.36
9/23/2009,13836054.1
9/24/2009,12946295.25
9/25/2009,12617147.16
9/26/2009,8421648.341
9/27/2009,11381508.59
9/28/2009,10469045.51
9/29/2009,11216743.96
9/30/2009,9033882.341
10/1/2009,8154922.186
10/2/2009,3861596.552
10/3/2009,3874132.316
10/4/2009,4024742.038
10/5/2009,4290008.567
10/6/2009,3881120.225
10/7/2009,2121254.396
10/8/2009,1260475.722
10/9/2009,633158.0233
10/10/2009,2071344.255
10/11/2009,1863787.27
10/12/2009,1908217.083
10/13/2009,1232995.435
10/14/2009,757166.2001
10/15/2009,785822.5903
10/16/2009,1059604.879
10/17/2009,553202.1872
10/18/2009,908221.269
10/19/2009,487017.0759
10/20/2009,122832.0728
10/21/2009,242724.7599
10/22/2009,444946.4617
10/23/2009,160642.1504
10/24/2009,193487.4271
10/25/2009,133338.3673
10/26/2009,159015.1776
10/27/2009,117019.7084
10/28/2009,133118.1755
10/29/2009,115649.6261
10/30/2009,60968.66261
10/31/2009,83721.81519
11/1/2009,472017.8201
11/2/2009,375647.2094
11/3/2009,365750.8113
11/4/2009,94621.30925
11/5/2009,88150.11693
11/6/2009,101361.6249
11/7/2009,236987.5403
11/8/2009,88737.29506
11/9/2009,88174.58269
11/10/2009,145730.2724
11/11/2009,268010.1182
11/12/2009,89826.02118
11/13/2009,87880.99362
11/14/2009,89507.96636
11/15/2009,89887.18557
11/16/2009,90400.96643
11/17/2009,90621.15823
11/18/2009,291252.5859
11/19/2009,97055.65192
11/20/2009,94865.96681
11/21/2009,227189.0052
11/22/2009,136702.4086
11/23/2009,94070.82975
