date,DIN
3/29/2010,388.0288129
3/30/2010,387.4129924
3/31/2010,386.7971723
4/1/2010,386.181352
4/2/2010,385.565532
4/3/2010,384.9497116
4/4/2010,384.3338917
4/5/2010,383.7180714
4/6/2010,383.1022516
4/7/2010,382.4864311
4/8/2010,381.8706111
4/9/2010,381.254791
4/10/2010,380.6389707
4/11/2010,380.0231509
4/12/2010,379.4073303
4/13/2010,378.7915103
4/14/2010,378.17569
4/15/2010,377.5598701
4/16/2010,376.9440497
4/17/2010,376.3282296
4/18/2010,375.7124096
4/19/2010,375.0965896
4/20/2010,374.4807691
4/21/2010,373.939892
4/22/2010,373.3990149
4/23/2010,373.15072
4/24/2010,372.9024251
4/25/2010,372.6541304
4/26/2010,372.4058356
4/27/2010,372.1575407
4/28/2010,371.9092457
4/29/2010,371.6609511
4/30/2010,371.4126563
5/1/2010,371.1643614
5/2/2010,370.9160664
5/3/2010,370.667772
5/4/2010,370.4194769
5/5/2010,370.1711824
5/6/2010,369.9228874
5/7/2010,369.6745927
5/8/2010,369.4262981
5/9/2010,369.178003
5/10/2010,368.9297083
5/11/2010,368.6814134
5/12/2010,368.4331187
5/13/2010,368.1848237
5/14/2010,367.9365291
5/15/2010,367.688234
5/16/2010,367.4399394
5/17/2010,367.1916444
5/18/2010,366.9433499
5/19/2010,362.5729197
5/20/2010,356.8402569
5/21/2010,351.107594
5/22/2010,345.374931
5/23/2010,339.642268
5/24/2010,333.9096054
5/25/2010,328.1769424
5/26/2010,322.4442793
5/27/2010,316.7116167
5/28/2010,310.9789537
5/29/2010,305.2462909
5/30/2010,299.5136281
5/31/2010,293.7809651
6/1/2010,288.0483021
6/2/2010,282.3156396
6/3/2010,276.5829766
6/4/2010,270.8503134
6/5/2010,265.1176507
6/6/2010,259.3849879
6/7/2010,253.6523253
6/8/2010,247.9196623
6/9/2010,242.1869993
6/10/2010,236.4543363
6/11/2010,230.7216734
6/12/2010,224.9890104
6/13/2010,219.2563477
6/14/2010,213.5236849
6/15/2010,210.9011729
6/16/2010,209.1678084
6/17/2010,207.4344441
6/18/2010,205.70108
6/19/2010,203.9677154
6/20/2010,202.2343511
6/21/2010,200.5009867
6/22/2010,198.7676224
6/23/2010,197.0342583
6/24/2010,195.3008937
6/25/2010,193.5675296
6/26/2010,191.8341651
6/27/2010,190.1008007
6/28/2010,188.3674363
6/29/2010,186.6340721
6/30/2010,184.900708
7/1/2010,183.1673433
7/2/2010,181.4339794
7/3/2010,179.7006147
7/4/2010,177.9672507
7/5/2010,176.233886
7/6/2010,174.5005219
7/7/2010,172.7671577
7/8/2010,171.0337929
