date,NO
12/14/2009,197.002551
12/15/2009,198.480952
12/16/2009,203.826191
12/17/2009,209.171428
12/18/2009,214.516667
12/19/2009,219.861905
12/20/2009,225.207143
12/21/2009,230.552381
12/22/2009,235.897619
12/23/2009,241.242857
12/24/2009,246.588095
12/25/2009,251.933333
12/26/2009,257.278571
12/27/2009,262.62381
12/28/2009,267.969048
12/29/2009,273.314286
12/30/2009,278.659524
12/31/2009,284.004762
1/1/2010,289.35
1/2/2010,294.695238
1/3/2010,300.040476
1/4/2010,305.385714
1/5/2010,310.730952
1/6/2010,316.076191
1/7/2010,321.421428
1/8/2010,326.766667
1/9/2010,332.111905
1/10/2010,337.457143
1/11/2010,342.802381
1/12/2010,348.147619
1/13/2010,353.492857
1/14/2010,357.515198
1/15/2010,358.197278
1/16/2010,358.879359
1/17/2010,359.56144
1/18/2010,360.24352
1/19/2010,360.925601
1/20/2010,361.607682
1/21/2010,362.289762
1/22/2010,362.971843
1/23/2010,363.653924
1/24/2010,364.336005
1/25/2010,365.018085
1/26/2010,365.700166
1/27/2010,366.382247
1/28/2010,367.064327
1/29/2010,367.746408
1/30/2010,368.428489
1/31/2010,369.110569
2/1/2010,369.79265
2/2/2010,370.474731
2/3/2010,371.156811
2/4/2010,371.838892
2/5/2010,372.520973
2/6/2010,373.203053
2/7/2010,373.885134
2/8/2010,374.567215
2/9/2010,375.249295
2/10/2010,375.931376
2/11/2010,376.613457
2/12/2010,377.295537
2/13/2010,377.977618
2/14/2010,378.659699
2/15/2010,379.34178
2/16/2010,380.02386
2/17/2010,380.705941
2/18/2010,381.388022
2/19/2010,382.070102
2/20/2010,382.752183
2/21/2010,383.434264
2/22/2010,384.116344
2/23/2010,384.798425
2/24/2010,385.480506
2/25/2010,386.162586
2/26/2010,386.844667
2/27/2010,387.526748
2/28/2010,388.208828
3/1/2010,388.890909
3/2/2010,389.180045
3/3/2010,389.469181
3/4/2010,389.758317
3/5/2010,390.047453
3/6/2010,390.336588
3/7/2010,390.625724
3/8/2010,390.91486
3/9/2010,391.203996
3/10/2010,391.493132
3/11/2010,390.786988
3/12/2010,390.080843
3/13/2010,389.374699
3/14/2010,388.668554
3/15/2010,387.96241
3/16/2010,387.256265
3/17/2010,386.55012
3/18/2010,385.843976
3/19/2010,385.137832
3/20/2010,384.431687
3/21/2010,383.725543
3/22/2010,383.019398
3/23/2010,382.313254
3/24/2010,381.607109
3/25/2010,380.900965
3/26/2010,380.19482
3/27/2010,379.488676
3/28/2010,378.782532
3/29/2010,378.076387
3/30/2010,377.370243
3/31/2010,376.664098
4/1/2010,375.957954
4/2/2010,375.251809
4/3/2010,374.545665
4/4/2010,373.83952
4/5/2010,373.133376
4/6/2010,372.427231
4/7/2010,371.721087
4/8/2010,371.014942
4/9/2010,370.308798
4/10/2010,369.602653
4/11/2010,368.896509
4/12/2010,368.190364
4/13/2010,367.48422
4/14/2010,366.778075
4/15/2010,366.071931
4/16/2010,365.365787
4/17/2010,364.659642
4/18/2010,363.953498
4/19/2010,363.247353
4/20/2010,362.541209
4/21/2010,361.914693
4/22/2010,361.288177
4/23/2010,361.039409
4/24/2010,360.79064
4/25/2010,360.541872
4/26/2010,360.293104
4/27/2010,360.044335
4/28/2010,359.795566
4/29/2010,359.546798
4/30/2010,359.29803
5/1/2010,359.049261
5/2/2010,358.800493
5/3/2010,358.551724
5/4/2010,358.302956
5/5/2010,358.054187
5/6/2010,357.805419
5/7/2010,357.55665
5/8/2010,357.307882
5/9/2010,357.059113
5/10/2010,356.810345
5/11/2010,356.561576
5/12/2010,356.312808
5/13/2010,356.064039
5/14/2010,355.815271
5/15/2010,355.566502
5/16/2010,355.317734
5/17/2010,355.068965
5/18/2010,354.820197
5/19/2010,350.538528
5/20/2010,344.931527
5/21/2010,339.324525
5/22/2010,333.717524
5/23/2010,328.110522
5/24/2010,322.503521
5/25/2010,316.896519
5/26/2010,311.289518
5/27/2010,305.682516
5/28/2010,300.075515
5/29/2010,294.468513
5/30/2010,288.861512
5/31/2010,283.25451
6/1/2010,277.647509
6/2/2010,272.040507
6/3/2010,266.433506
6/4/2010,260.826504
6/5/2010,255.219503
6/6/2010,249.612501
6/7/2010,244.0055
6/8/2010,238.398498
6/9/2010,232.791497
6/10/2010,227.184495
6/11/2010,221.577494
6/12/2010,215.970492
6/13/2010,210.363491
6/14/2010,204.756489
6/15/2010,202.026173
6/16/2010,200.181839
6/17/2010,198.337505
6/18/2010,196.493172
6/19/2010,194.648838
6/20/2010,192.804504
6/21/2010,190.960171
6/22/2010,189.115837
6/23/2010,187.271503
6/24/2010,185.427169
6/25/2010,183.582836
6/26/2010,181.738502
6/27/2010,179.894168
6/28/2010,178.049834
6/29/2010,176.205501
6/30/2010,174.361167
7/1/2010,172.516833
7/2/2010,170.6725
7/3/2010,168.828166
7/4/2010,166.983832
7/5/2010,165.139498
7/6/2010,163.295165
7/7/2010,161.450831
7/8/2010,159.606497
7/9/2010,157.762163
7/10/2010,155.91783
7/11/2010,154.073496
7/12/2010,152.229162
7/13/2010,150.658507
7/14/2010,149.087852
7/15/2010,147.517197
7/16/2010,145.946541
7/17/2010,144.375886
7/18/2010,142.805231
7/19/2010,141.234575
7/20/2010,139.66392
7/21/2010,138.093265
7/22/2010,136.52261
7/23/2010,134.951954
7/24/2010,133.381299
7/25/2010,131.810644
7/26/2010,130.239988
7/27/2010,128.669333
7/28/2010,127.098678
7/29/2010,125.528022
7/30/2010,123.957367
7/31/2010,122.386712
8/1/2010,120.816057
8/2/2010,119.245401
8/3/2010,117.674746
8/4/2010,116.104091
8/5/2010,114.533436
8/6/2010,112.96278
8/7/2010,111.392125
8/8/2010,109.82147
8/9/2010,108.250814
8/10/2010,106.680159
8/11/2010,105.109504
8/12/2010,103.538849
8/13/2010,101.968193
8/14/2010,100.397538
8/15/2010,98.826883
8/16/2010,97.256228
8/17/2010,95.685572
8/18/2010,94.114917
8/19/2010,92.544261
8/20/2010,90.973606
8/21/2010,89.402951
8/22/2010,87.832296
8/23/2010,86.26164
8/24/2010,85.870577
8/25/2010,85.479513
8/26/2010,85.683162
8/27/2010,85.88681
8/28/2010,86.090459
8/29/2010,86.294107
8/30/2010,86.497756
8/31/2010,86.701404
9/1/2010,86.905052
9/2/2010,87.108701
9/3/2010,87.31235
9/4/2010,87.515998
9/5/2010,87.719646
9/6/2010,87.923295
9/7/2010,88.126944
9/8/2010,88.330592
9/9/2010,88.53424
9/10/2010,88.737889
9/11/2010,88.941537
9/12/2010,89.145186
9/13/2010,89.348834
9/14/2010,89.552483
9/15/2010,89.756131
9/16/2010,89.95978
9/17/2010,90.163428
9/18/2010,90.367077
9/19/2010,90.570725
9/20/2010,90.774373
9/21/2010,94.047619
9/22/2010,95.757823
9/23/2010,97.468027
9/24/2010,99.178231
9/25/2010,100.888435
9/26/2010,102.59864
9/27/2010,104.308844
9/28/2010,106.019047
9/29/2010,107.729252
9/30/2010,109.439456
10/1/2010,111.14966
10/2/2010,112.859864
10/3/2010,114.570068
10/4/2010,116.280272
10/5/2010,117.990476
10/6/2010,119.70068
10/7/2010,121.410884
10/8/2010,123.121089
10/9/2010,124.831293
10/10/2010,126.541496
10/11/2010,128.251701
10/12/2010,129.961905
10/13/2010,131.672109
10/14/2010,133.382313
10/15/2010,135.092517
10/16/2010,136.802721
10/17/2010,138.512925
10/18/2010,140.223129
10/19/2010,141.933333
10/20/2010,143.643538
10/21/2010,138.651361
10/22/2010,137.59966
10/23/2010,136.547959
10/24/2010,135.496259
10/25/2010,134.444558
10/26/2010,133.392857
10/27/2010,132.341157
10/28/2010,131.289456
10/29/2010,130.237755
10/30/2010,129.186054
10/31/2010,128.134354
11/1/2010,127.082653
11/2/2010,132.647835
11/3/2010,136.399242
11/4/2010,140.150649
11/5/2010,143.902056
11/6/2010,147.653463
11/7/2010,151.40487
11/8/2010,155.156277
11/9/2010,158.907684
11/10/2010,162.659091
11/11/2010,166.410498
11/12/2010,170.161905
11/13/2010,173.913312
11/14/2010,177.664719
11/15/2010,181.416126
11/16/2010,185.167532
11/17/2010,188.918939
11/18/2010,192.670346
11/19/2010,196.421753
11/20/2010,200.17316
11/21/2010,203.924567
11/22/2010,207.675974
11/23/2010,211.427381
11/24/2010,215.178788
11/25/2010,218.930195
11/26/2010,222.681602
11/27/2010,226.433009
11/28/2010,230.184416
11/29/2010,233.935823
11/30/2010,237.687229
12/1/2010,241.438636
12/2/2010,245.190043
12/3/2010,248.94145
12/4/2010,252.692857
12/5/2010,256.444264
12/6/2010,260.195671
12/7/2010,263.947078
12/8/2010,267.698485
12/9/2010,271.449892
12/10/2010,275.201299
12/11/2010,278.952706
12/12/2010,282.704113
12/13/2010,286.455519
12/14/2010,290.206927
12/15/2010,293.958333
12/16/2010,296.87381
12/17/2010,299.789286
12/18/2010,302.704762
12/19/2010,305.620238
12/20/2010,308.535714
12/21/2010,310.54966
12/22/2010,312.563606
12/23/2010,314.577551
12/24/2010,316.591497
12/25/2010,318.605442
12/26/2010,320.619388
12/27/2010,322.633333
12/28/2010,324.647279
12/29/2010,326.661225
12/30/2010,328.67517
12/31/2010,330.689116
1/1/2011,332.703061
1/2/2011,334.717007
1/3/2011,336.730952
1/4/2011,338.795918
1/5/2011,338.894973
1/6/2011,338.994027
1/7/2011,339.093081
1/8/2011,339.192135
1/9/2011,339.29119
1/10/2011,339.390244
1/11/2011,339.489298
1/12/2011,339.588352
1/13/2011,339.687407
1/14/2011,339.786461
1/15/2011,339.885515
1/16/2011,339.98457
1/17/2011,340.083624
1/18/2011,340.182678
1/19/2011,340.281732
1/20/2011,340.380786
1/21/2011,340.479841
1/22/2011,340.578895
1/23/2011,340.677949
1/24/2011,340.777003
1/25/2011,340.876058
1/26/2011,340.975112
1/27/2011,341.074166
1/28/2011,341.173221
1/29/2011,341.272275
1/30/2011,341.371329
1/31/2011,341.470383
2/1/2011,341.569437
2/2/2011,341.668492
2/3/2011,341.767546
2/4/2011,341.8666
2/5/2011,341.965654
2/6/2011,342.064709
2/7/2011,342.163763
2/8/2011,342.262817
2/9/2011,342.361871
2/10/2011,342.460926
2/11/2011,342.55998
2/12/2011,342.659034
2/13/2011,342.758089
2/14/2011,342.857143
2/15/2011,340.313646
2/16/2011,337.77015
2/17/2011,335.226654
2/18/2011,332.683158
2/19/2011,330.139661
2/20/2011,327.596165
2/21/2011,325.052668
2/22/2011,322.509172
2/23/2011,319.965676
2/24/2011,317.42218
2/25/2011,314.878683
2/26/2011,312.335187
2/27/2011,309.791691
2/28/2011,307.248194
3/1/2011,304.704698
3/2/2011,302.161202
3/3/2011,299.617705
3/4/2011,297.074209
3/5/2011,294.530712
3/6/2011,291.987216
3/7/2011,289.44372
3/8/2011,286.900223
3/9/2011,283.706426
3/10/2011,280.512629
