date,NH4
9/12/2009,11.436224
9/13/2009,11.594387
9/14/2009,11.752551
9/15/2009,11.762755
9/16/2009,11.727041
9/17/2009,11.691327
9/18/2009,11.655612
9/19/2009,11.619898
9/20/2009,11.584184
9/21/2009,11.548469
9/22/2009,11.512755
9/23/2009,11.477041
9/24/2009,11.441327
9/25/2009,11.405612
9/26/2009,11.369898
9/27/2009,11.334184
9/28/2009,11.298469
9/29/2009,11.262755
9/30/2009,11.227041
10/1/2009,11.191327
10/2/2009,11.155612
10/3/2009,11.119898
10/4/2009,11.084184
10/5/2009,11.048469
10/6/2009,11.012755
10/7/2009,10.977041
10/8/2009,10.941327
10/9/2009,10.905612
10/10/2009,10.869898
10/11/2009,10.834184
10/12/2009,10.798469
10/13/2009,10.722222
10/14/2009,10.620975
10/15/2009,10.519728
10/16/2009,10.418481
10/17/2009,10.317234
10/18/2009,10.215987
10/19/2009,10.114739
10/20/2009,10.013492
10/21/2009,9.912245
10/22/2009,9.810998
10/23/2009,9.70975
10/24/2009,9.608503
10/25/2009,9.507256
10/26/2009,9.406009
10/27/2009,9.304762
10/28/2009,9.203515
10/29/2009,9.102267
10/30/2009,9.00102
10/31/2009,8.899773
11/1/2009,8.798526
11/2/2009,8.697279
11/3/2009,8.596032
11/4/2009,8.494785
11/5/2009,8.393537
11/6/2009,8.29229
11/7/2009,8.191043
11/8/2009,8.089796
11/9/2009,7.988549
11/10/2009,7.887301
11/11/2009,7.786054
11/12/2009,7.684807
11/13/2009,7.58356
11/14/2009,7.482313
11/15/2009,7.381066
11/16/2009,7.279819
11/17/2009,7.278061
11/18/2009,7.4786
11/19/2009,7.679138
11/20/2009,7.879677
11/21/2009,8.080215
11/22/2009,8.280754
11/23/2009,8.481293
11/24/2009,8.681831
11/25/2009,8.88237
11/26/2009,9.082908
11/27/2009,9.283447
11/28/2009,9.483985
11/29/2009,9.684524
11/30/2009,9.885062
12/1/2009,10.085601
12/2/2009,10.286139
12/3/2009,10.486678
12/4/2009,10.687217
12/5/2009,10.887755
12/6/2009,11.088294
12/7/2009,11.288832
12/8/2009,11.489371
12/9/2009,11.689909
12/10/2009,11.890448
12/11/2009,12.090986
12/12/2009,12.291525
12/13/2009,12.492063
12/14/2009,12.692602
12/15/2009,13.007143
12/16/2009,13.164286
12/17/2009,13.321429
12/18/2009,13.478571
12/19/2009,13.635714
12/20/2009,13.792857
12/21/2009,13.95
12/22/2009,14.107143
12/23/2009,14.264286
12/24/2009,14.421429
12/25/2009,14.578571
12/26/2009,14.735714
12/27/2009,14.892857
12/28/2009,15.05
12/29/2009,15.207143
12/30/2009,15.364286
12/31/2009,15.521429
1/1/2010,15.678571
1/2/2010,15.835714
1/3/2010,15.992857
1/4/2010,16.15
1/5/2010,16.307143
1/6/2010,16.464286
1/7/2010,16.621429
1/8/2010,16.778571
1/9/2010,16.935714
1/10/2010,17.092857
1/11/2010,17.25
1/12/2010,17.407143
1/13/2010,17.564286
1/14/2010,17.43617
1/15/2010,17.235977
1/16/2010,17.035784
1/17/2010,16.83559
1/18/2010,16.635396
1/19/2010,16.435203
1/20/2010,16.23501
1/21/2010,16.034816
1/22/2010,15.834623
1/23/2010,15.634429
1/24/2010,15.434236
1/25/2010,15.234042
1/26/2010,15.033849
1/27/2010,14.833656
1/28/2010,14.633462
1/29/2010,14.433269
1/30/2010,14.233075
1/31/2010,14.032882
2/1/2010,13.832689
2/2/2010,13.632495
2/3/2010,13.432302
2/4/2010,13.232108
2/5/2010,13.031915
2/6/2010,12.831721
2/7/2010,12.631528
2/8/2010,12.431335
2/9/2010,12.231141
2/10/2010,12.030948
2/11/2010,11.830754
2/12/2010,11.630561
2/13/2010,11.430367
2/14/2010,11.230174
2/15/2010,11.029981
2/16/2010,10.829787
2/17/2010,10.629594
2/18/2010,10.429401
2/19/2010,10.229207
2/20/2010,10.029013
2/21/2010,9.82882
2/22/2010,9.628627
