,Date,Total_Outflows_acft
6596,2009-01-22,8888.97591
6597,2009-01-23,2870.95757
6598,2009-01-24,2233.14331
6599,2009-01-25,2207.51649
6600,2009-01-26,2944.684265
6601,2009-01-27,4223.228529999999
6602,2009-01-28,5640.617795
6603,2009-01-29,7368.801675
6604,2009-01-30,4810.562715
6605,2009-01-31,1652.3150050000002
6606,2009-02-01,2854.6333649999997
6607,2009-02-02,2231.457335
6608,2009-02-03,6400.258625
6609,2009-02-04,8691.042446
6610,2009-02-05,7663.8473
6611,2009-02-06,4834.523395
6612,2009-02-07,876.707
6613,2009-02-08,1295.2255
6614,2009-02-09,3061.53225
6615,2009-02-10,5908.707654999999
6616,2009-02-11,3725.3898649999996
6617,2009-02-12,4073.7123
6618,2009-02-13,4672.29293
6619,2009-02-14,3736.5966399999998
6620,2009-02-15,3077.261405
6621,2009-02-16,5089.1849600000005
6622,2009-02-17,6351.167001
6623,2009-02-18,5937.270055
6624,2009-02-19,6246.259686
6625,2009-02-20,6315.3251549999995
6626,2009-02-21,5352.018545
6627,2009-02-22,3133.513465
6628,2009-02-23,4270.515170000001
6629,2009-02-24,4191.1355
6630,2009-02-25,4753.2594
6631,2009-02-26,5164.815815
6632,2009-02-27,5611.103315
6633,2009-02-28,5115.863035
6634,2009-03-01,2682.64408
6635,2009-03-02,3519.7802549999997
6636,2009-03-03,5627.5266950000005
6637,2009-03-04,5824.527915
6638,2009-03-05,5291.34328
6639,2009-03-06,4570.420370000001
6640,2009-03-07,4162.592935000001
6641,2009-03-08,2957.59685
6642,2009-03-09,3869.29279
6643,2009-03-10,4599.81584
6644,2009-03-11,5385.539695
6645,2009-03-12,5095.909025
6646,2009-03-13,5240.88304
6647,2009-03-14,4040.0721399999998
6648,2009-03-15,3152.039355
6649,2009-03-16,4217.139185
6650,2009-03-17,4890.39859
6651,2009-03-18,2499.0909899999997
6652,2009-03-19,773.565
6653,2009-03-20,491.908
6654,2009-03-21,297.72335
6655,2009-03-22,335.2115
6656,2009-03-23,480.60205010000004
6657,2009-03-24,1761.70503
6658,2009-03-25,4655.2745
6659,2009-03-26,3959.9189049999995
6660,2009-03-27,2317.04536
6661,2009-03-28,1465.8065
6662,2009-03-29,3298.659675
6663,2009-03-30,6429.019375
6664,2009-03-31,4769.464595
6665,2009-04-01,2363.042725
6666,2009-04-02,3219.478355
6667,2009-04-03,4968.42948
6668,2009-04-04,3607.5302950000005
6669,2009-04-05,2316.152785
6670,2009-04-06,5405.2556859999995
6671,2009-04-07,7780.43743
6672,2009-04-08,7208.019165000001
6673,2009-04-09,6844.42378
6674,2009-04-10,7061.914554999999
6675,2009-04-11,6657.716925
6676,2009-04-12,6648.41431
6677,2009-04-13,8466.371401
6678,2009-04-14,8509.631536
6679,2009-04-15,5092.061035
6680,2009-04-16,7310.129745
6681,2009-04-17,6243.482785
6682,2009-04-18,4141.74635
6683,2009-04-19,3058.5371649999997
6684,2009-04-20,4837.657325
6685,2009-04-21,3851.04459
6686,2009-04-22,5130.342585
6687,2009-04-23,6528.432395000001
6688,2009-04-24,7320.681965000001
6689,2009-04-25,5945.997455
6690,2009-04-26,3852.452875
6691,2009-04-27,7010.541905
6692,2009-04-28,9609.204595000001
6693,2009-04-29,10001.36238
6694,2009-04-30,10810.8089
6695,2009-05-01,9945.725204999999
6696,2009-05-02,8002.70844
6697,2009-05-03,6515.182615
6698,2009-05-04,8754.871475
6699,2009-05-05,9171.78334
6700,2009-05-06,9804.698355
6701,2009-05-07,9830.18633
6702,2009-05-08,9825.525104999999
6703,2009-05-09,8930.550070000001
6704,2009-05-10,8289.820065
6705,2009-05-11,7703.695815000001
6706,2009-05-12,7344.18644
6707,2009-05-13,6082.382915
6708,2009-05-14,4853.06912
6709,2009-05-15,4356.59907
6710,2009-05-16,3103.2452550000003
6711,2009-05-17,1653.8026300000001
6712,2009-05-18,1223.085605
6713,2009-05-19,0.0
