Date,SLTRIB
25-Jul-10,12.93
26-Jul-10,12.96
27-Jul-10,12.54
28-Jul-10,11.54
29-Jul-10,10.83
30-Jul-10,10.47
31-Jul-10,9.44
1-Aug-10,9.01
2-Aug-10,9.95
3-Aug-10,11.3
4-Aug-10,11.79
5-Aug-10,12.63
6-Aug-10,8.94
7-Aug-10,8.61
8-Aug-10,11.96
9-Aug-10,12.52
10-Aug-10,13.78
11-Aug-10,10.98
12-Aug-10,129.32
13-Aug-10,100
14-Aug-10,12.36
15-Aug-10,16.78
16-Aug-10,332.45
17-Aug-10,189.6
18-Aug-10,307.94
19-Aug-10,47.35
20-Aug-10,306.76
21-Aug-10,91.82
22-Aug-10,237.59
23-Aug-10,307.57
24-Aug-10,271.28
25-Aug-10,260.77
26-Aug-10,257.55
27-Aug-10,529.75
28-Aug-10,273.06
29-Aug-10,284.51
30-Aug-10,281.52
31-Aug-10,230.14
1-Sep-10,96.09
2-Sep-10,17.24
3-Sep-10,155.28
4-Sep-10,66.43
5-Sep-10,19.44
6-Sep-10,624.3
7-Sep-10,815.31
8-Sep-10,555.44
9-Sep-10,418.46
10-Sep-10,404.35
11-Sep-10,141.89
12-Sep-10,237.68
13-Sep-10,300.1
14-Sep-10,129.24
15-Sep-10,163.36
16-Sep-10,177.97
17-Sep-10,139.37
18-Sep-10,115.98
19-Sep-10,76.43
20-Sep-10,73.25
21-Sep-10,70.51
22-Sep-10,35.38
23-Sep-10,88.06
24-Sep-10,78.67
25-Sep-10,17.38
26-Sep-10,158.97
27-Sep-10,106.78
28-Sep-10,527.6
29-Sep-10,952.28
30-Sep-10,30.86
1-Oct-10,178.35
2-Oct-10,102.38
3-Oct-10,41.03
4-Oct-10,111.04
5-Oct-10,63.33
6-Oct-10,15.48
7-Oct-10,15.09
8-Oct-10,15.3
9-Oct-10,15.32
10-Oct-10,15.32
11-Oct-10,15.14
12-Oct-10,16.84
13-Oct-10,14.24
14-Oct-10,15.56
15-Oct-10,14.43
16-Oct-10,14.07
17-Oct-10,14.71
18-Oct-10,15.03
19-Oct-10,15.01
20-Oct-10,15.41
21-Oct-10,14.85
22-Oct-10,14.51
23-Oct-10,13.75
24-Oct-10,13.82
25-Oct-10,16.3
26-Oct-10,17.31
27-Oct-10,13.43
28-Oct-10,13.66
29-Oct-10,13.09
30-Oct-10,12.22
31-Oct-10,12.69
1-Nov-10,12.7
2-Nov-10,12.69
3-Nov-10,14.7
4-Nov-10,15.83
5-Nov-10,9.2
6-Nov-10,7.09
7-Nov-10,6.44
8-Nov-10,7.66
9-Nov-10,8.94
10-Nov-10,8.76
11-Nov-10,9.14
12-Nov-10,9.18
13-Nov-10,8.92
14-Nov-10,8.66
15-Nov-10,8.82
16-Nov-10,9
17-Nov-10,8.48
18-Nov-10,9.08
19-Nov-10,8.42
20-Nov-10,8.82
21-Nov-10,9.07
22-Nov-10,8.6
23-Nov-10,9.08
24-Nov-10,8.69
25-Nov-10,8.76
26-Nov-10,9.49
27-Nov-10,8.94
28-Nov-10,7.66
29-Nov-10,8.26
30-Nov-10,8.75
1-Dec-10,9.03
2-Dec-10,10.76
3-Dec-10,10.78
4-Dec-10,9.77
5-Dec-10,6.18
6-Dec-10,4.21
7-Dec-10,2.01
8-Dec-10,1.49
9-Dec-10,2.89
10-Dec-10,3.19
11-Dec-10,3.68
12-Dec-10,3.56
13-Dec-10,0.15
14-Dec-10,0
15-Dec-10,0
16-Dec-10,0
17-Dec-10,0
18-Dec-10,0
19-Dec-10,0
20-Dec-10,1
21-Dec-10,5.06
22-Dec-10,6.2
23-Dec-10,4.64
24-Dec-10,2.12
25-Dec-10,2.12
26-Dec-10,2
27-Dec-10,0
28-Dec-10,0
29-Dec-10,0.06
30-Dec-10,2.83
31-Dec-10,3.73
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
