Date,TP_Loads_In_mg,Atm_Loading_mg
10/24/2017,2723136988,95890410.96
10/25/2017,2940440839,95890410.96
10/26/2017,2565829899,95890410.96
10/27/2017,2388948394,95890410.96
10/28/2017,3295581862,95890410.96
10/29/2017,9427930752,95890410.96
10/30/2017,8440084011,95890410.96
10/31/2017,6593532400,95890410.96
11/1/2017,5166752561,95890410.96
11/2/2017,4232274999,95890410.96
11/3/2017,3574082148,95890410.96
11/4/2017,3225357882,95890410.96
11/5/2017,2848693819,95890410.96
11/6/2017,2418313008,95890410.96
11/7/2017,2224529030,95890410.96
11/8/2017,1817840283,95890410.96
11/9/2017,1754516155,95890410.96
11/10/2017,1668433540,95890410.96
11/11/2017,1704627280,95890410.96
11/12/2017,1534919986,95890410.96
11/13/2017,2436165747,95890410.96
11/14/2017,2955445386,95890410.96
11/15/2017,2339697275,95890410.96
11/16/2017,1967143345,95890410.96
11/17/2017,1506489498,95890410.96
11/18/2017,1387901403,95890410.96
11/19/2017,1241292006,95890410.96
11/20/2017,1232965668,95890410.96
11/21/2017,1187091796,95890410.96
11/22/2017,1243804439,95890410.96
11/23/2017,1057301897,95890410.96
11/24/2017,1295658703,95890410.96
11/25/2017,1032922179,95890410.96
11/26/2017,939694911.4,95890410.96
11/27/2017,840837607.5,95890410.96
11/28/2017,870887261.7,95890410.96
11/29/2017,793459031.3,95890410.96
11/30/2017,761472605,95890410.96
12/1/2017,538213339.9,95890410.96
12/2/2017,513575347.7,95890410.96
12/3/2017,392039070.6,95890410.96
12/4/2017,439189458.9,95890410.96
12/5/2017,401933983.4,95890410.96
12/6/2017,406508519.4,95890410.96
12/7/2017,620510020.4,95890410.96
12/8/2017,487893226.9,95890410.96
12/9/2017,1149089094,95890410.96
12/10/2017,1099904978,95890410.96
12/11/2017,777813909.4,95890410.96
12/12/2017,627360437.1,95890410.96
12/13/2017,651014271.3,95890410.96
12/14/2017,585262370.2,95890410.96
12/15/2017,411560728,95890410.96
12/16/2017,384618858.6,95890410.96
12/17/2017,394874125.7,95890410.96
12/18/2017,516150642.4,95890410.96
12/19/2017,373780130.6,95890410.96
12/20/2017,310252063.8,95890410.96
12/21/2017,409374393.5,95890410.96
12/22/2017,378071623.9,95890410.96
12/23/2017,402291787.2,95890410.96
12/24/2017,317955673.7,95890410.96
12/25/2017,287795623.6,95890410.96
12/26/2017,423589452.4,95890410.96
12/27/2017,270579727.3,95890410.96
12/28/2017,376923579.8,95890410.96
12/29/2017,279466717.2,95890410.96
12/30/2017,326171115.3,95890410.96
12/31/2017,245154933.7,95890410.96
1/1/2018,275950993,95890410.96
1/2/2018,245816057.1,95890410.96
1/3/2018,417006611.8,95890410.96
1/4/2018,274414545.5,95890410.96
1/5/2018,342628574.4,95890410.96
1/6/2018,275809327.6,95890410.96
1/7/2018,233944740.3,95890410.96
1/8/2018,222180662.6,95890410.96
1/9/2018,201290409.4,95890410.96
1/10/2018,184929180.1,95890410.96
1/11/2018,318704773.3,95890410.96
1/12/2018,241613523.5,95890410.96
1/13/2018,297217886.6,95890410.96
1/14/2018,350987800.3,95890410.96
1/15/2018,236322439,95890410.96
1/16/2018,319845641,95890410.96
1/17/2018,167642115.8,95890410.96
1/18/2018,150887550.1,95890410.96
1/19/2018,151786047.9,95890410.96
1/20/2018,168111675.1,95890410.96
1/21/2018,146302146.5,95890410.96
1/22/2018,137986513.6,95890410.96
1/23/2018,221665801.3,95890410.96
1/24/2018,155564669.9,95890410.96
1/25/2018,196190419.5,95890410.96
1/26/2018,146173282.5,95890410.96
1/27/2018,133157464.3,95890410.96
1/28/2018,185763562.4,95890410.96
1/29/2018,245136595.8,95890410.96
1/30/2018,292435439.3,95890410.96
1/31/2018,280812651.6,95890410.96
2/1/2018,306799346.5,95890410.96
2/2/2018,235797788.5,95890410.96
2/3/2018,241819662.9,95890410.96
2/4/2018,256405312.6,95890410.96
2/5/2018,276199906.3,95890410.96
2/6/2018,254899797.2,95890410.96
2/7/2018,269325599.5,95890410.96
2/8/2018,344816412.1,95890410.96
2/9/2018,268000351.3,95890410.96
