Date,C44RO
30-Jul-01,407.0000003
31-Jul-01,422.0000003
1-Aug-01,419.0000003
2-Aug-01,975.0000005
3-Aug-01,1425.000001
4-Aug-01,1035.000001
5-Aug-01,1635.000001
6-Aug-01,1735.000001
7-Aug-01,1275.000001
8-Aug-01,855.0000005
9-Aug-01,725.0000004
10-Aug-01,705.0000005
11-Aug-01,605.0000004
12-Aug-01,527.0000002
13-Aug-01,408.0000004
14-Aug-01,422.0000003
15-Aug-01,196.0000001
16-Aug-01,701.0000003
17-Aug-01,515.0000002
18-Aug-01,279.0000002
19-Aug-01,209.0000001
20-Aug-01,211.0000001
21-Aug-01,203.0000001
22-Aug-01,0
23-Aug-01,107
24-Aug-01,35
25-Aug-01,113.0000001
26-Aug-01,85.00000001
27-Aug-01,75.00000001
28-Aug-01,148.0000001
29-Aug-01,35
30-Aug-01,35
31-Aug-01,53.00000001
1-Sep-01,35
2-Sep-01,85.00000001
3-Sep-01,58.00000001
4-Sep-01,232.0000001
5-Sep-01,143.0000001
6-Sep-01,148.0000001
7-Sep-01,490.0000004
8-Sep-01,836.0000003
9-Sep-01,481.0000004
10-Sep-01,131
11-Sep-01,433.0000002
12-Sep-01,1186.000001
13-Sep-01,1361.000001
14-Sep-01,1681.000001
15-Sep-01,1415.000001
16-Sep-01,719.0000004
17-Sep-01,306.0000002
18-Sep-01,291.0000002
19-Sep-01,85.00000001
20-Sep-01,3.999999977
21-Sep-01,0
22-Sep-01,0
23-Sep-01,79.00000003
24-Sep-01,40.79999999
25-Sep-01,206.0000001
26-Sep-01,85.00000001
27-Sep-01,365.0000002
28-Sep-01,238.0000001
29-Sep-01,556.0000002
30-Sep-01,714.0000005
1-Oct-01,200.0000001
2-Oct-01,132.0000001
3-Oct-01,0
4-Oct-01,35
5-Oct-01,35
6-Oct-01,35
7-Oct-01,35
8-Oct-01,0
9-Oct-01,0
10-Oct-01,35
11-Oct-01,35
12-Oct-01,35
13-Oct-01,35
14-Oct-01,35
15-Oct-01,35
16-Oct-01,35
17-Oct-01,35
18-Oct-01,35
19-Oct-01,35
20-Oct-01,35
21-Oct-01,35
22-Oct-01,35
23-Oct-01,35
24-Oct-01,35
25-Oct-01,35
26-Oct-01,0
27-Oct-01,0
28-Oct-01,35
29-Oct-01,35
30-Oct-01,35
31-Oct-01,289.9999999
1-Nov-01,363
2-Nov-01,280
3-Nov-01,249
4-Nov-01,126
5-Nov-01,558
6-Nov-01,1770
7-Nov-01,960
8-Nov-01,575
9-Nov-01,625
10-Nov-01,482.9999999
11-Nov-01,374
12-Nov-01,518
13-Nov-01,316
14-Nov-01,462
15-Nov-01,348
16-Nov-01,156
17-Nov-01,225
18-Nov-01,273
19-Nov-01,276
20-Nov-01,91
21-Nov-01,191
22-Nov-01,179
23-Nov-01,134
24-Nov-01,137
25-Nov-01,141
26-Nov-01,104
27-Nov-01,35
28-Nov-01,35
29-Nov-01,35
30-Nov-01,0
1-Dec-01,35
2-Dec-01,104
3-Dec-01,0
4-Dec-01,0
5-Dec-01,0
6-Dec-01,0
7-Dec-01,35
8-Dec-01,263
9-Dec-01,141
10-Dec-01,67
11-Dec-01,35
12-Dec-01,35
13-Dec-01,0
14-Dec-01,0
15-Dec-01,35
16-Dec-01,68
17-Dec-01,35
18-Dec-01,35
19-Dec-01,0
20-Dec-01,0
21-Dec-01,0
22-Dec-01,35
23-Dec-01,35
24-Dec-01,107
25-Dec-01,35
26-Dec-01,35
27-Dec-01,35
28-Dec-01,35
29-Dec-01,35
30-Dec-01,35
31-Dec-01,100
1-Jan-02,35
2-Jan-02,35
3-Jan-02,0
4-Jan-02,0
5-Jan-02,0
6-Jan-02,35
7-Jan-02,0
8-Jan-02,0
9-Jan-02,0
10-Jan-02,0
11-Jan-02,35
12-Jan-02,0
13-Jan-02,0
14-Jan-02,0
15-Jan-02,4.999999992
16-Jan-02,35
17-Jan-02,35
18-Jan-02,35
19-Jan-02,0
20-Jan-02,0
21-Jan-02,0
22-Jan-02,0
23-Jan-02,35
24-Jan-02,35
25-Jan-02,35
26-Jan-02,35
27-Jan-02,0
28-Jan-02,0
29-Jan-02,0
30-Jan-02,0
31-Jan-02,0
1-Feb-02,0
2-Feb-02,6.999999985
3-Feb-02,0
4-Feb-02,0
5-Feb-02,0
6-Feb-02,0
7-Feb-02,35
8-Feb-02,35
9-Feb-02,35
10-Feb-02,18
11-Feb-02,95.00000005
12-Feb-02,186
13-Feb-02,35
14-Feb-02,120
15-Feb-02,35
16-Feb-02,35
17-Feb-02,90
