,Date,Netflows_acft
564,2009-07-16,14002.875109999999
565,2009-07-17,11393.402409999999
566,2009-07-18,10989.81978
567,2009-07-19,10201.85457
568,2009-07-20,13825.76835
569,2009-07-21,13727.287719999998
570,2009-07-22,11088.00298
571,2009-07-23,9689.952884
572,2009-07-24,9934.419166
573,2009-07-25,9708.558118
574,2009-07-26,9735.613055
575,2009-07-27,15210.98535
576,2009-07-28,14455.05379
577,2009-07-29,14459.100069999999
578,2009-07-30,13625.633419999998
579,2009-07-31,12873.49022
580,2009-08-01,11963.6191
581,2009-08-02,10436.542290000001
582,2009-08-03,10965.978000000001
583,2009-08-04,13789.708540000001
584,2009-08-05,12090.32508
585,2009-08-06,8425.987344
586,2009-08-07,13557.8571
587,2009-08-08,14294.489459999999
588,2009-08-09,13655.0884
589,2009-08-10,13369.68258
590,2009-08-11,11967.50658
591,2009-08-12,12772.92677
592,2009-08-13,10922.93616
593,2009-08-14,8898.794240000001
594,2009-08-15,10382.51175
595,2009-08-16,10245.49157
596,2009-08-17,8189.871335
597,2009-08-18,6411.505074000001
598,2009-08-19,6039.638494
599,2009-08-20,4668.087913
600,2009-08-21,3759.1490369999997
601,2009-08-22,3222.2552570000003
602,2009-08-23,3684.8669619999996
603,2009-08-24,4324.823402
604,2009-08-25,5595.493173
605,2009-08-26,6483.882993
606,2009-08-27,5986.798047
607,2009-08-28,5262.899845
608,2009-08-29,4587.319793
609,2009-08-30,4882.385252
610,2009-08-31,5966.546518
611,2009-09-01,7358.586653
612,2009-09-02,7654.901637000001
613,2009-09-03,12883.883759999999
614,2009-09-04,12702.75051
615,2009-09-05,9802.258654000001
616,2009-09-06,9089.170569
617,2009-09-07,10199.17669
618,2009-09-08,10478.69165
619,2009-09-09,8892.645390000001
620,2009-09-10,8552.118103
621,2009-09-11,11046.50807
622,2009-09-12,10449.7524
623,2009-09-13,8256.060899
624,2009-09-14,10850.41929
625,2009-09-15,10778.45801
626,2009-09-16,6908.808114
627,2009-09-17,7894.409343
628,2009-09-18,8028.573168000001
629,2009-09-19,8058.603475
630,2009-09-20,7705.837998999999
631,2009-09-21,7484.459564
632,2009-09-22,6753.698356
633,2009-09-23,6521.827343999999
634,2009-09-24,6184.632344
635,2009-09-25,6103.884058
636,2009-09-26,4103.345793
637,2009-09-27,5274.126502
638,2009-09-28,4728.346473
639,2009-09-29,4653.588527
640,2009-09-30,3799.1760670000003
641,2009-10-01,3808.280332
642,2009-10-02,1746.570926
643,2009-10-03,1938.296036
644,2009-10-04,2335.967952
645,2009-10-05,2385.039741
646,2009-10-06,2158.147177
647,2009-10-07,1079.658615
648,2009-10-08,998.0178602
649,2009-10-09,505.0982754
650,2009-10-10,1412.628866
651,2009-10-11,1347.490726
652,2009-10-12,1583.963507
653,2009-10-13,905.2297488
654,2009-10-14,394.8355279
655,2009-10-15,493.07828269999993
656,2009-10-16,798.9537297
657,2009-10-17,554.9634654
658,2009-10-18,994.2293756000001
659,2009-10-19,649.8937754
660,2009-10-20,-96.41765926
661,2009-10-21,47.24738007
662,2009-10-22,572.6763655
663,2009-10-23,169.43072
664,2009-10-24,275.7858478
665,2009-10-25,-68.11338237
666,2009-10-26,140.63014730000003
667,2009-10-27,265.98735
668,2009-10-28,60.53642003
669,2009-10-29,187.7978257
670,2009-10-30,101.2379194
671,2009-10-31,140.82857959999998
672,2009-11-01,743.9514230000001
673,2009-11-02,555.637928
674,2009-11-03,496.56929110000004
675,2009-11-04,100.900708
676,2009-11-05,131.9821413
677,2009-11-06,201.10711630000003
678,2009-11-07,241.4118355
679,2009-11-08,73.05235473
680,2009-11-09,278.10655330000003
681,2009-11-10,360.85800489999997
682,2009-11-11,440.1188152
683,2009-11-12,83.76320506
684,2009-11-13,15.49115728
685,2009-11-14,-90.52690833
686,2009-11-15,-11.54393962
687,2009-11-16,-8.548779669
688,2009-11-17,-7.576819544
689,2009-11-18,322.3188899
690,2009-11-19,59.60429482
691,2009-11-20,88.30552565
692,2009-11-21,339.9521619
693,2009-11-22,110.8777432
694,2009-11-23,33.71956803
695,2009-11-24,143.466596
696,2009-11-25,151.5790949
697,2009-11-26,402.9678514
698,2009-11-27,772.5732414
699,2009-11-28,341.55872489999996
700,2009-11-29,355.6415713
701,2009-11-30,421.8308408
702,2009-12-01,334.97349199999996
703,2009-12-02,119.0497577
704,2009-12-03,217.113798
705,2009-12-04,1057.939107
706,2009-12-05,1843.047904
707,2009-12-06,1430.4404869999998
708,2009-12-07,1791.7548
709,2009-12-08,1363.814776
710,2009-12-09,815.5355624
711,2009-12-10,1364.6874890000001
712,2009-12-11,1170.601783
713,2009-12-12,581.3240940000001
714,2009-12-13,391.2849445
715,2009-12-14,509.8982094
716,2009-12-15,564.3651179999999
717,2009-12-16,1070.3954939999999
718,2009-12-17,1004.979806
719,2009-12-18,1222.510152
720,2009-12-19,1583.963293
721,2009-12-20,814.5636243
722,2009-12-21,607.5061624
723,2009-12-22,898.4061139
724,2009-12-23,1319.364552
