b.o.m,e.o.m.,SLTRIB,C44RO,C43RO,Note,"SLTRIB units are (af), C44RO and C43RO units are (cfsd)"
1-Apr-91,30-Apr-91,73089.8,4185.268404,19164.58501,,
1-May-91,31-May-91,43826.7,1240.342827,54520.25531,,
1-Jun-91,30-Jun-91,115652.3,7227.133932,96440.97144,,
1-Jul-91,31-Jul-91,158426.6,23649.37738,136097.0219,,
1-Aug-91,31-Aug-91,109100.4,7601.900444,103030.7579,,
1-Sep-91,30-Sep-91,97507.1,7458.210327,66519.41241,,
1-Oct-91,31-Oct-91,79672.8,16122.67705,42077.28543,,
1-Nov-91,30-Nov-91,5428,1640.836926,0,,
1-Dec-91,31-Dec-91,8395.8,2332.750198,31.75738525,,
1-Jan-92,31-Jan-92,6464.8,444.7491796,0,,
1-Feb-92,29-Feb-92,14280.8,5260.181571,12351.0509,,
1-Mar-92,31-Mar-92,4483.9,3130.370533,5571.203827,,
1-Apr-92,30-Apr-92,9645.3,2084.431641,10456.18622,,
1-May-92,31-May-92,2853,251.751915,0,,
1-Jun-92,30-Jun-92,39309.8,17420.4033,109968.8038,,
1-Jul-92,31-Jul-92,96559.6,35445.82254,144270.1548,,
1-Aug-92,31-Aug-92,156202.5,12683.91736,67224.21625,,
1-Sep-92,30-Sep-92,91317.8,12979.23358,42196.07733,,
1-Oct-92,31-Oct-92,49156,15660.67068,17012.16144,,
1-Nov-92,30-Nov-92,66972.8,3966.700247,2736.050079,,
1-Dec-92,31-Dec-92,21715.4,1360.383295,487.2216492,,
1-Jan-93,31-Jan-93,122679.4,11403.71066,44625.10516,,
1-Feb-93,28-Feb-93,50047.4,9012.810806,16988.40146,,
1-Mar-93,31-Mar-93,56535.3,6010.647811,14393.67145,,
1-Apr-93,30-Apr-93,38597.5,2845.424438,161.2202148,,
1-May-93,31-May-93,8436.4,0,1477.910522,,
1-Jun-93,30-Jun-93,37251.5,1917.418682,44906.3909,,
1-Jul-93,31-Jul-93,90609.7,5329.452941,38921.95773,,
1-Aug-93,31-Aug-93,30089.1,0,26037.90696,,
1-Sep-93,30-Sep-93,52702.5,3649.659721,115334.2667,,
1-Oct-93,31-Oct-93,134449.6,4977.852291,64803.34354,,
1-Nov-93,30-Nov-93,25164.9,394.5147476,14774.62464,,
1-Dec-93,31-Dec-93,10799.8,666.9926872,0,,
1-Jan-94,31-Jan-94,32978.3,838.0085773,10251.7923,,
1-Feb-94,28-Feb-94,102594.6,6858.416977,25592.61188,,
1-Mar-94,31-Mar-94,33335.9,928.2833328,12249.90189,,
1-Apr-94,30-Apr-94,37149.8,1811.227593,6465.846831,,
1-May-94,31-May-94,44561.4,4623.755962,3115.439819,,
1-Jun-94,30-Jun-94,143423.5,8822.81319,97093.71167,,
1-Jul-94,31-Jul-94,83198.8,6900.746178,48466.11932,,
1-Aug-94,31-Aug-94,87994.9,16299.8739,55506.02667,,
1-Sep-94,30-Sep-94,142781.8,23717.06572,136753.2275,,
1-Oct-94,31-Oct-94,78611.9,18868.24747,74274.41174,,
1-Nov-94,30-Nov-94,65527.1,15374.26254,33336.8761,,
1-Dec-94,31-Dec-94,102271.3,18485.06146,44598.74023,,
1-Jan-95,31-Jan-95,42139.6,7950.395752,45645.39111,,
1-Feb-95,28-Feb-95,15591.5,216.9243164,9257.541016,,
1-Mar-95,31-Mar-95,27466.2,5629.437881,7205.503815,,
1-Apr-95,30-Apr-95,8245.8,1336.591949,1243.528992,,
1-May-95,31-May-95,6277.2,0,1032.502991,,
1-Jun-95,30-Jun-95,18952.6,0,95307.54529,,
1-Jul-95,31-Jul-95,42851.2,0,122588.5949,,
1-Aug-95,31-Aug-95,119577.4,16704.92531,159329.6399,,
1-Sep-95,30-Sep-95,117172,16477.32935,145832.2766,,
1-Oct-95,31-Oct-95,90140.3,36239.47586,200945.2861,,
1-Nov-95,30-Nov-95,17467.8,11044.31567,17266.13928,,
1-Dec-95,31-Dec-95,4535.6,232.96698,4635.784576,,
1-Jan-96,31-Jan-96,8141.3,297.6204376,30931.22537,,
1-Feb-96,29-Feb-96,5675.2,0,3851.313171,,
1-Mar-96,31-Mar-96,55129.3,2076.289398,4839.807281,,
1-Apr-96,30-Apr-96,33588.6,5324.219955,3593.136841,,
1-May-96,31-May-96,31075.4,939.6017418,11420.5766,,
1-Jun-96,30-Jun-96,79339.9,10384.35594,163567.7045,,
1-Jul-96,31-Jul-96,44447,5819.596527,55410.85229,,
1-Aug-96,31-Aug-96,24284.9,0,30126.77466,,
1-Sep-96,30-Sep-96,32090.6,450.899931,43623.40868,,
1-Oct-96,31-Oct-96,91649.4,4637.76151,55599.71024,,
1-Nov-96,30-Nov-96,15232.3,1342.152758,469.5764952,,
1-Dec-96,31-Dec-96,7488.5,0,0,,
1-Jan-97,31-Jan-97,13754.5,1121.462065,0,,
1-Feb-97,28-Feb-97,7741.8,123.0199137,0,,
1-Mar-97,31-Mar-97,8806.9,0,237.2674484,,
1-Apr-97,30-Apr-97,53154.6,3651.751945,13550.81421,,
1-May-97,31-May-97,26712.9,673.3098068,25635.02859,,
1-Jun-97,30-Jun-97,80144.1,9951.202423,75406.50818,,
1-Jul-97,31-Jul-97,75643.9,624.5374382,93117.15564,,
1-Aug-97,31-Aug-97,140297.8,368.7522111,100065.6615,,
1-Sep-97,30-Sep-97,78244.2,3387.814466,60049.29443,,
1-Oct-97,31-Oct-97,14489.3,2407.426271,55226.52814,,
1-Nov-97,30-Nov-97,20623.3,0,15258.19233,,
1-Dec-97,31-Dec-97,54707.3,4383.816431,106069.1379,,
1-Jan-98,31-Jan-98,59757.9,5458.960815,47854.68408,,
1-Feb-98,28-Feb-98,102084.6,15134.54175,106721.7183,,
1-Mar-98,31-Mar-98,61921.1,14847.25122,82483.66895,,
1-Apr-98,30-Apr-98,13062.1,999.9602051,5816.901367,,
1-May-98,31-May-98,22208.9,0,56.19372559,,
1-Jun-98,30-Jun-98,13184.9,0,10211.87656,,
1-Jul-98,31-Jul-98,15714.6,195.8255653,53376.34166,,
1-Aug-98,31-Aug-98,100178,1315.543216,111878.1598,,
1-Sep-98,30-Sep-98,111622.5,10235.70466,56683.93906,,
1-Oct-98,31-Oct-98,27386.9,6624.784479,33039.35458,,
1-Nov-98,30-Nov-98,55034,24845.64148,97110.291,,
1-Dec-98,31-Dec-98,6191.9,3405.828032,2038.991577,,
1-Jan-99,31-Jan-99,8747.8,3266.584286,7765.896545,,
1-Feb-99,28-Feb-99,7090.7,87.30526918,850.9698486,,
1-Mar-99,31-Mar-99,3444.4,0,0,,
1-Apr-99,30-Apr-99,5820,0,393.1333466,,
1-May-99,31-May-99,9025.6,0,4742.540787,,
