Date,ETVol_acft
19-May-01,7516
20-May-01,6780
21-May-01,6844
22-May-01,5824
23-May-01,4151
24-May-01,6804
25-May-01,4658
26-May-01,6331
27-May-01,6566
28-May-01,4713
29-May-01,6200
30-May-01,7043
31-May-01,6802
1-Jun-01,6398
2-Jun-01,6234
3-Jun-01,6904
4-Jun-01,6955
5-Jun-01,6639
6-Jun-01,6915
7-Jun-01,5984
8-Jun-01,6165
9-Jun-01,5971
10-Jun-01,6767
11-Jun-01,6385
12-Jun-01,7517
13-Jun-01,6976
14-Jun-01,7417
15-Jun-01,6777
16-Jun-01,7127
17-Jun-01,7154
18-Jun-01,6909
19-Jun-01,6999
20-Jun-01,6540
21-Jun-01,6006
22-Jun-01,5890
23-Jun-01,5485
24-Jun-01,5815
25-Jun-01,6891
26-Jun-01,6744
27-Jun-01,6591
28-Jun-01,5375
29-Jun-01,5459
30-Jun-01,6651
1-Jul-01,6812
2-Jul-01,8029
3-Jul-01,7699
4-Jul-01,6741
5-Jul-01,7427
6-Jul-01,7675
7-Jul-01,7755
8-Jul-01,7167
9-Jul-01,6930
10-Jul-01,7018
11-Jul-01,6211
12-Jul-01,7763
13-Jul-01,6746
14-Jul-01,6581
15-Jul-01,6094
16-Jul-01,6864
17-Jul-01,6907
18-Jul-01,7211
19-Jul-01,6552
20-Jul-01,6783
21-Jul-01,6428
22-Jul-01,6356
23-Jul-01,6248
24-Jul-01,6669
25-Jul-01,7567
26-Jul-01,7784
27-Jul-01,7210
28-Jul-01,8395
29-Jul-01,7743
30-Jul-01,6735
31-Jul-01,6794
1-Aug-01,5965
2-Aug-01,4697
3-Aug-01,5636
4-Aug-01,6156
5-Aug-01,6179
6-Aug-01,7176
7-Aug-01,7410
8-Aug-01,7163
9-Aug-01,7275
10-Aug-01,6556
11-Aug-01,6760
12-Aug-01,5785
13-Aug-01,6741
14-Aug-01,6087
15-Aug-01,7115
16-Aug-01,7500
17-Aug-01,7035
18-Aug-01,6815
19-Aug-01,7484
20-Aug-01,7932
21-Aug-01,6816
22-Aug-01,5615
23-Aug-01,7564
24-Aug-01,6720
25-Aug-01,8369
26-Aug-01,8087
27-Aug-01,8919
