,Date,ETVol_acft
490,2009-05-03,6364.124409
491,2009-05-04,6184.966340999999
492,2009-05-05,6230.971181
493,2009-05-06,6061.907087
494,2009-05-07,6271.874367
495,2009-05-08,4737.161607999999
496,2009-05-09,6039.327736
497,2009-05-10,3674.081365
498,2009-05-11,6175.128871
499,2009-05-12,6085.6912729999995
500,2009-05-13,5083.618073
501,2009-05-14,4626.689134
502,2009-05-15,4270.59074
503,2009-05-16,5673.2409450000005
504,2009-05-17,5648.108
505,2009-05-18,2833.887874
506,2009-05-19,3014.1295800000003
507,2009-05-20,3248.541732
508,2009-05-21,3922.0108189999996
509,2009-05-22,3378.0286929999997
510,2009-05-23,3042.2586300000003
511,2009-05-24,4489.215748
512,2009-05-25,5708.468462
513,2009-05-26,4515.308661
514,2009-05-27,4802.840903
515,2009-05-28,4383.423496
516,2009-05-29,4078.877197
517,2009-05-30,4452.961921
518,2009-05-31,6291.22064
519,2009-06-01,6325.277218
520,2009-06-02,5909.876913
521,2009-06-03,6091.275328
522,2009-06-04,7240.8437269999995
523,2009-06-05,5219.116535
524,2009-06-06,3675.9908659999996
525,2009-06-07,3736.256693
526,2009-06-08,5384.237008
527,2009-06-09,7111.527873999999
528,2009-06-10,6593.7376380000005
529,2009-06-11,6714.439265000001
530,2009-06-12,6301.1089759999995
531,2009-06-13,7064.614908
532,2009-06-14,6662.648556
533,2009-06-15,6806.759948000001
534,2009-06-16,6462.064724
535,2009-06-17,6142.192913
536,2009-06-18,6070.902142
537,2009-06-19,6708.925942
538,2009-06-20,7089.409228
539,2009-06-21,6229.537081
540,2009-06-22,6345.164063
541,2009-06-23,2697.045543
542,2009-06-24,6588.143370000001
543,2009-06-25,6564.5218350000005
544,2009-06-26,4338.656588
545,2009-06-27,5226.394692
546,2009-06-28,4807.75716
547,2009-06-29,2688.392294
548,2009-06-30,3448.48585
549,2009-07-01,4252.6540509999995
550,2009-07-02,2973.101776
551,2009-07-03,5875.830427000001
552,2009-07-04,6990.7104150000005
553,2009-07-05,6264.026669
554,2009-07-06,5594.148363
555,2009-07-07,5654.230764
556,2009-07-08,5696.256401
557,2009-07-09,3811.400047
558,2009-07-10,4211.568354
559,2009-07-11,6128.072008
560,2009-07-12,7370.528622
561,2009-07-13,6404.9353280000005
562,2009-07-14,7015.655643000001
563,2009-07-15,7311.421856
564,2009-07-16,7327.260478
565,2009-07-17,4961.060678
566,2009-07-18,5733.735984
567,2009-07-19,4113.9002439999995
568,2009-07-20,4380.914228000001
569,2009-07-21,6945.908556
570,2009-07-22,6403.070465
571,2009-07-23,7090.997772
572,2009-07-24,5925.088395000001
573,2009-07-25,4728.915693
574,2009-07-26,5540.903072
575,2009-07-27,5812.6359999999995
576,2009-07-28,4416.234835
577,2009-07-29,5130.3542259999995
578,2009-07-30,3786.911843
579,2009-07-31,6202.8195909999995
580,2009-08-01,6761.1628980000005
581,2009-08-02,6077.993713
582,2009-08-03,6541.310429
583,2009-08-04,7249.251473
584,2009-08-05,6049.0152020000005
585,2009-08-06,3383.825617
586,2009-08-07,6300.500775
587,2009-08-08,6000.336302000001
588,2009-08-09,6626.480428
589,2009-08-10,4927.946784000001
590,2009-08-11,5269.08085
591,2009-08-12,6750.928784999999
592,2009-08-13,4687.260145
593,2009-08-14,5905.863483
594,2009-08-15,2833.8443420000003
595,2009-08-16,6679.346996
596,2009-08-17,6571.18175
597,2009-08-18,6793.807573
598,2009-08-19,3706.8058
599,2009-08-20,6190.39895
600,2009-08-21,7072.066331
601,2009-08-22,6609.076413000001
602,2009-08-23,7199.635515000001
603,2009-08-24,4852.395649
604,2009-08-25,5306.072995
605,2009-08-26,5171.447728
606,2009-08-27,6614.335572999999
607,2009-08-28,6103.333207
608,2009-08-29,3639.608976
609,2009-08-30,6438.588976
610,2009-08-31,5121.643515
611,2009-09-01,5289.699877
612,2009-09-02,5536.7055119999995
613,2009-09-03,4826.517315
614,2009-09-04,4484.32355
615,2009-09-05,4173.545402000001
616,2009-09-06,6435.806157
617,2009-09-07,6001.065524000001
618,2009-09-08,6779.315659999999
619,2009-09-09,5429.527518
620,2009-09-10,5083.4094
621,2009-09-11,5828.205446
622,2009-09-12,3640.515822
623,2009-09-13,3730.908779
624,2009-09-14,6314.481735
625,2009-09-15,5746.160140999999
