Date,INDUST_cms,INDUST_cmd
5/10/2009,4.445744918,384112.3609
5/11/2009,5.380200856,464849.354
5/12/2009,5.380200856,464849.354
5/13/2009,3.228120513,278909.6123
5/14/2009,3.369704746,291142.4901
5/15/2009,3.25643736,281356.1879
5/16/2009,2.633466735,227531.5259
5/17/2009,1.67069395,144347.9573
5/18/2009,0.651287472,56271.23758
5/19/2009,0,0
5/20/2009,0,0
5/21/2009,0,0
5/22/2009,0,0
5/23/2009,0,0
5/24/2009,0,0
5/25/2009,0,0
5/26/2009,0,0
5/27/2009,0,0
5/28/2009,0,0
5/29/2009,0,0
5/30/2009,0,0
5/31/2009,0,0
6/1/2009,0,0
6/2/2009,0,0
6/3/2009,0,0
6/4/2009,0,0
6/5/2009,0,0
6/6/2009,0,0
6/7/2009,0,0
6/8/2009,0,0
6/9/2009,0,0
6/10/2009,0,0
6/11/2009,0,0
6/12/2009,0,0
6/13/2009,0,0
6/14/2009,0,0
6/15/2009,0,0
6/16/2009,0,0
6/17/2009,0,0
6/18/2009,0,0
6/19/2009,0,0
6/20/2009,0,0
6/21/2009,0,0
6/22/2009,0,0
6/23/2009,0,0
6/24/2009,0,0
6/25/2009,0,0
6/26/2009,0,0
6/27/2009,0,0
6/28/2009,0,0
6/29/2009,0,0
6/30/2009,0,0
7/1/2009,0,0
7/2/2009,0,0
7/3/2009,0,0
7/4/2009,0,0
7/5/2009,0,0
7/6/2009,0,0
7/7/2009,0.150079287,12966.8504
7/8/2009,0.368119006,31805.48212
7/9/2009,0.008211886,709.5069504
7/10/2009,0.001699011,146.7945504
7/11/2009,0,0
7/12/2009,0,0
7/13/2009,0.201049611,17370.68639
7/14/2009,0,0
7/15/2009,0,0
7/16/2009,0,0
7/17/2009,0.243524881,21040.54972
7/18/2009,0.101940648,8807.671987
7/19/2009,0,0
7/20/2009,0,0
7/21/2009,0,0
7/22/2009,0.070792117,6116.438909
7/23/2009,0.283168466,24465.75546
7/24/2009,1.359208637,117435.6262
7/25/2009,1.274258097,110095.8996
7/26/2009,0,0
7/27/2009,0,0
7/28/2009,0,0
7/29/2009,0.707921165,61164.38866
7/30/2009,0.04247527,3669.863328
7/31/2009,0,0
8/1/2009,0.274673412,23731.7828
8/2/2009,0.181227818,15658.08348
8/3/2009,1.529109717,132115.0795
8/4/2009,1.925545569,166367.1372
8/5/2009,1.50079287,129668.504
8/6/2009,0.991089631,85630.14412
8/7/2009,0,0
8/8/2009,0,0
8/9/2009,0,0
8/10/2009,0,0
8/11/2009,0,0
8/12/2009,0,0
8/13/2009,0,0
8/14/2009,0,0
8/15/2009,0,0
8/16/2009,0,0
8/17/2009,0,0
8/18/2009,0,0
8/19/2009,0,0
8/20/2009,0.424752699,36698.63319
8/21/2009,0,0
8/22/2009,0,0
8/23/2009,0,0
8/24/2009,0,0
8/25/2009,0,0
8/26/2009,0,0
8/27/2009,0,0
8/28/2009,0.679604319,58717.81316
8/29/2009,0.195386242,16881.37131
8/30/2009,0,0
8/31/2009,0,0
9/1/2009,0,0
9/2/2009,0,0
9/3/2009,0,0
9/4/2009,0,0
9/5/2009,0,0
9/6/2009,0,0
9/7/2009,0,0
9/8/2009,0,0
9/9/2009,0,0
9/10/2009,0,0
9/11/2009,0,0
9/12/2009,0,0
9/13/2009,0,0
9/14/2009,0,0
9/15/2009,0,0
9/16/2009,0.026617836,2299.78103
9/17/2009,0,0
9/18/2009,0.21237635,18349.31664
9/19/2009,0.396435853,34252.0577
9/20/2009,0.283168466,24465.75546
9/21/2009,1.557426564,134561.6551
9/22/2009,1.330891791,114989.0507
9/23/2009,0.226534773,19572.60439
9/24/2009,0.311485313,26912.33104
9/25/2009,0.053802009,4648.493578
9/26/2009,1.302574944,112542.4752
9/27/2009,0.509703239,44038.35985
9/28/2009,0,0
9/29/2009,0.067960432,5871.781325
9/30/2009,1.41584233,122328.7773
10/1/2009,1.387525484,119882.2018
10/2/2009,1.58574341,137008.2306
10/3/2009,1.160990711,100309.5974
10/4/2009,0.538020086,46484.93543
10/5/2009,2.378615115,205512.3459
10/6/2009,0.186891188,16147.39864
10/7/2009,0,0
10/8/2009,0.368119006,31805.48212
10/9/2009,0.792871705,68504.11531
10/10/2009,1.302574944,112542.4752
10/11/2009,0.764554858,66057.53973
10/12/2009,1.699010797,146794.5329
10/13/2009,2.208714036,190832.8927
10/14/2009,2.067129802,178600.0149
10/15/2009,2.123763496,183493.1661
10/16/2009,1.076040171,92969.87077
10/17/2009,0.509703239,44038.35985
10/18/2009,0.962772785,83183.56862
10/19/2009,1.047723325,90523.29528
10/20/2009,2.803367814,242210.9791
10/21/2009,2.690100428,232424.677
10/22/2009,1.245941251,107649.3241
10/23/2009,1.868911876,161473.9861
10/24/2009,1.387525484,119882.2018
10/25/2009,1.953862416,168813.7127
10/26/2009,2.973268894,256890.4324
10/27/2009,2.152080342,185939.7415
10/28/2009,2.208714036,190832.8927
10/29/2009,2.435248808,210405.497
10/30/2009,1.642377103,141901.3817
10/31/2009,1.58574341,137008.2306
11/1/2009,0.736238012,63610.96424
11/2/2009,1.132673864,97863.02185
11/3/2009,2.208714036,190832.8927
11/4/2009,1.41584233,122328.7773
11/5/2009,0.594653779,51378.08651
11/6/2009,0,0
11/7/2009,2.605149888,225084.9503
11/8/2009,1.953862416,168813.7127
11/9/2009,1.047723325,90523.29528
11/10/2009,0.311485313,26912.33104
11/11/2009,0.311485313,26912.33104
11/12/2009,1.387525484,119882.2018
11/13/2009,2.463565655,212852.0726
11/14/2009,3.454655286,298482.2167
11/15/2009,2.576833041,222638.3747
11/16/2009,2.095446649,181046.5905
11/17/2009,1.953862416,168813.7127
11/18/2009,1.982179263,171260.2883
11/19/2009,1.132673864,97863.02185
11/20/2009,0.764554858,66057.53973
11/21/2009,0.509703239,44038.35985
11/22/2009,0.764554858,66057.53973
11/23/2009,1.160990711,100309.5974
11/24/2009,1.245941251,107649.3241
11/25/2009,0.368119006,31805.48212
11/26/2009,0.368119006,31805.48212
11/27/2009,0.161406026,13945.48065
11/28/2009,0,0
11/29/2009,0.093445594,8073.699322
11/30/2009,0,0
12/1/2009,0.070792117,6116.438909
12/2/2009,0.283168466,24465.75546
12/3/2009,0.736238012,63610.96424
12/4/2009,0.453069546,39145.20877
12/5/2009,0,0
12/6/2009,0,0
12/7/2009,0.203881296,17615.34397
12/8/2009,0.079287171,6850.411574
12/9/2009,0.736238012,63610.96424
12/10/2009,0.736238012,63610.96424
12/11/2009,0.093445594,8073.699322
12/12/2009,0.707921165,61164.38866
12/13/2009,0.679604319,58717.81316
12/14/2009,1.897228723,163920.5617
12/15/2009,1.047723325,90523.29528
12/16/2009,0.257683304,22263.83747
12/17/2009,0,0
12/18/2009,0,0
12/19/2009,0,0
12/20/2009,0,0
12/21/2009,0,0
12/22/2009,0,0
12/23/2009,0,0
12/24/2009,0.368119006,31805.48212
12/25/2009,0.566336932,48931.51092
12/26/2009,0.481386392,41591.78427
12/27/2009,0.257683304,22263.83747
12/28/2009,0.235029827,20306.57705
12/29/2009,1.529109717,132115.0795
12/30/2009,1.50079287,129668.504
12/31/2009,1.189307558,102756.173
1/1/2010,0.821188552,70950.69089
1/2/2010,0.453069546,39145.20877
1/3/2010,0.821188552,70950.69089
1/4/2010,1.302574944,112542.4752
1/5/2010,1.557426564,134561.6551
1/6/2010,1.925545569,166367.1372
1/7/2010,1.245941251,107649.3241
1/8/2010,0.368119006,31805.48212
1/9/2010,0.538020086,46484.93543
1/10/2010,0.991089631,85630.14412
1/11/2010,0.764554858,66057.53973
1/12/2010,0.821188552,70950.69089
1/13/2010,0.792871705,68504.11531
1/14/2010,0.792871705,68504.11531
1/15/2010,0.962772785,83183.56862
1/16/2010,0.481386392,41591.78427
1/17/2010,0.396435853,34252.0577
1/18/2010,0.368119006,31805.48212
1/19/2010,0.12742581,11009.58998
1/20/2010,0,0
1/21/2010,0.368119006,31805.48212
1/22/2010,0.368119006,31805.48212
1/23/2010,0,0
1/24/2010,0.283168466,24465.75546
1/25/2010,0,0
1/26/2010,0,0
1/27/2010,0,0
1/28/2010,0,0
1/29/2010,0,0
1/30/2010,0,0
1/31/2010,0.266178358,22997.81013
2/1/2010,0.110435702,9541.644653
2/2/2010,0,0
2/3/2010,0,0
2/4/2010,0,0
2/5/2010,0.339802159,29358.90654
2/6/2010,0,0
2/7/2010,0,0
2/8/2010,0,0
2/9/2010,0,0
2/10/2010,0.566336932,48931.51092
2/11/2010,0.736238012,63610.96424
2/12/2010,0.651287472,56271.23758
2/13/2010,0,0
2/14/2010,0.481386392,41591.78427
2/15/2010,0,0
2/16/2010,0,0
2/17/2010,0.368119006,31805.48212
2/18/2010,0.368119006,31805.48212
2/19/2010,0.254851619,22019.17988
2/20/2010,0.181227818,15658.08348
2/21/2010,0.172732764,14924.11081
2/22/2010,0.124594125,10764.9324
