,Date,RF_acft
680,2009-11-09,1844.4191670000002
681,2009-11-10,449.31
682,2009-11-11,0.0
683,2009-11-12,0.0
684,2009-11-13,178.3766667
685,2009-11-14,89.09433333
686,2009-11-15,0.0
687,2009-11-16,266.296
688,2009-11-17,0.0
689,2009-11-18,265.497
690,2009-11-19,44.1555
691,2009-11-20,0.0
692,2009-11-21,0.0
693,2009-11-22,176.08933330000002
694,2009-11-23,351.8026667
695,2009-11-24,175.68200000000002
696,2009-11-25,14602.41133
697,2009-11-26,351.8026667
698,2009-11-27,87.52766667
699,2009-11-28,262.63
700,2009-11-29,175.0553333
701,2009-11-30,0.0
702,2009-12-01,87.465
703,2009-12-02,0.0
704,2009-12-03,2843.1216670000003
705,2009-12-04,9086.584
706,2009-12-05,35142.52457
707,2009-12-06,0.0
708,2009-12-07,0.0
709,2009-12-08,176.68466669999998
710,2009-12-09,88.37366667
711,2009-12-10,265.074
712,2009-12-11,88.18566667
713,2009-12-12,617.8480000000001
714,2009-12-13,176.4966667
715,2009-12-14,0.0
716,2009-12-15,529.396
717,2009-12-16,264.557
718,2009-12-17,5030.155
719,2009-12-18,22421.95633
720,2009-12-19,265.027
721,2009-12-20,0.0
722,2009-12-21,0.0
723,2009-12-22,396.4125
724,2009-12-23,264.46299999999997
725,2009-12-24,88.24833333
726,2009-12-25,1235.038
727,2009-12-26,176.21466669999998
728,2009-12-27,88.07600000000001
729,2009-12-28,87.90366667
730,2009-12-29,350.7373333
731,2009-12-30,43.8735
732,2009-12-31,87.77833333
733,2010-01-01,8556.86
734,2010-01-02,262.77099999999996
735,2010-01-03,87.465
736,2010-01-04,87.30833333
737,2010-01-05,261.408
738,2010-01-06,260.797
739,2010-01-07,86.91666667
740,2010-01-08,260.639
741,2010-01-09,6962.538917
742,2010-01-10,258.6965
743,2010-01-11,86.38016667
744,2010-01-12,172.94533330000002
745,2010-01-13,0.0
746,2010-01-14,0.0
747,2010-01-15,173.0563333
748,2010-01-16,0.0
749,2010-01-17,5554.378667
750,2010-01-18,86.80566667
751,2010-01-19,0.0
752,2010-01-20,0.0
753,2010-01-21,130.3195
754,2010-01-22,2215.90325
755,2010-01-23,434.74
756,2010-01-24,0.0
757,2010-01-25,16285.643
758,2010-01-26,0.0
759,2010-01-27,0.0
760,2010-01-28,86.995
761,2010-01-29,348.0426667
762,2010-01-30,174.1466667
763,2010-01-31,0.0
764,2010-02-01,7877.3009999999995
765,2010-02-02,1482.91
766,2010-02-03,261.408
767,2010-02-04,0.0
768,2010-02-05,7427.866667
769,2010-02-06,174.554
770,2010-02-07,261.878
771,2010-02-08,174.6166667
772,2010-02-09,3584.7803329999997
773,2010-02-10,87.02633333
774,2010-02-11,0.0
775,2010-02-12,10905.70833
776,2010-02-13,86.91666667
777,2010-02-14,0.0
778,2010-02-15,174.74200000000002
779,2010-02-16,0.0
780,2010-02-17,87.13600000000001
781,2010-02-18,0.0
782,2010-02-19,0.0
783,2010-02-20,0.0
784,2010-02-21,174.77333330000002
785,2010-02-22,87.48066667
786,2010-02-23,174.93
787,2010-02-24,16717.784330000002
788,2010-02-25,87.29266667
789,2010-02-26,87.52766667
790,2010-02-27,3505.493333
791,2010-02-28,0.0
792,2010-03-01,87.76266667
793,2010-03-02,8567.5525
794,2010-03-03,0.0
795,2010-03-04,0.0
796,2010-03-05,0.0
797,2010-03-06,0.0
798,2010-03-07,0.0
799,2010-03-08,174.9926667
800,2010-03-09,87.49633333
801,2010-03-10,0.0
802,2010-03-11,37950.5775
803,2010-03-12,90259.326
804,2010-03-13,181.6353333
805,2010-03-14,91.0045
806,2010-03-15,0.0
807,2010-03-16,0.0
808,2010-03-17,912.4808332999999
809,2010-03-18,0.0
810,2010-03-19,91.36
811,2010-03-20,0.0
812,2010-03-21,17205.384
813,2010-03-22,3713.9445
814,2010-03-23,0.0
815,2010-03-24,183.5626667
816,2010-03-25,91.84058333
817,2010-03-26,3583.83675
818,2010-03-27,0.0
819,2010-03-28,40755.37242
820,2010-03-29,23325.519
821,2010-03-30,0.0
822,2010-03-31,0.0
823,2010-04-01,139.224
824,2010-04-02,0.0
825,2010-04-03,0.0
826,2010-04-04,0.0
827,2010-04-05,0.0
828,2010-04-06,46.488625
829,2010-04-07,0.0
830,2010-04-08,0.0
831,2010-04-09,185.9688333
832,2010-04-10,0.0
833,2010-04-11,4368.246583
834,2010-04-12,511.256625
835,2010-04-13,0.0
836,2010-04-14,0.0
837,2010-04-15,0.0
838,2010-04-16,1811.099875
839,2010-04-17,325.1068333
840,2010-04-18,17792.79163
841,2010-04-19,1434.672
842,2010-04-20,558.2075
843,2010-04-21,372.21
844,2010-04-22,186.148
845,2010-04-23,0.0
846,2010-04-24,0.0
847,2010-04-25,1302.684833
848,2010-04-26,106739.9667
849,2010-04-27,0.0
850,2010-04-28,0.0
851,2010-04-29,0.0
852,2010-04-30,0.0
853,2010-05-01,0.0
854,2010-05-02,0.0
855,2010-05-03,0.0
856,2010-05-04,0.0
857,2010-05-05,0.0
858,2010-05-06,4206.225
859,2010-05-07,1448.810833
860,2010-05-08,46.725
861,2010-05-09,0.0
862,2010-05-10,93.38166667
863,2010-05-11,0.0
864,2010-05-12,0.0
865,2010-05-13,0.0
866,2010-05-14,0.0
867,2010-05-15,0.0
868,2010-05-16,9418.64175
869,2010-05-17,11738.957540000001
870,2010-05-18,0.0
871,2010-05-19,92.77658333
872,2010-05-20,92.7515
873,2010-05-21,92.72283333
874,2010-05-22,0.0
875,2010-05-23,0.0
876,2010-05-24,0.0
877,2010-05-25,4436.156
878,2010-05-26,138.46200000000002
879,2010-05-27,21287.164
880,2010-05-28,11058.0
881,2010-05-29,7164.441143000001
882,2010-05-30,5992.3175
883,2010-05-31,56518.48854
884,2010-06-01,11116.42
885,2010-06-02,1019.478167
886,2010-06-03,5467.89875
887,2010-06-04,231.70854169999998
888,2010-06-05,6070.294375
889,2010-06-06,2178.397125
890,2010-06-07,13398.44942
891,2010-06-08,46.365
892,2010-06-09,138.99825
893,2010-06-10,138.9445
894,2010-06-11,46.28616667
895,2010-06-12,0.0
896,2010-06-13,0.0
897,2010-06-14,0.0
898,2010-06-15,138.274375
899,2010-06-16,1104.694
900,2010-06-17,689.396875
901,2010-06-18,15609.541669999999
902,2010-06-19,1422.712708
903,2010-06-20,1421.794333
904,2010-06-21,45.83141667
905,2010-06-22,45.78533333
906,2010-06-23,45.70304167
907,2010-06-24,45.610875
908,2010-06-25,409.846125
909,2010-06-26,29879.84762
910,2010-06-27,90.89258333
911,2010-06-28,362.5813333
912,2010-06-29,361.0773333
913,2010-06-30,30723.077
914,2010-07-01,13459.468
915,2010-07-02,60401.094000000005
916,2010-07-03,4416.272583
917,2010-07-04,31501.19283
918,2010-07-05,34429.26213
919,2010-07-06,1055.712458
920,2010-07-07,1103.351
921,2010-07-08,0.0
922,2010-07-09,0.0
923,2010-07-10,4146.75
924,2010-07-11,92.17633333
925,2010-07-12,11797.728000000001
926,2010-07-13,0.0
927,2010-07-14,4606.5125
928,2010-07-15,2025.4171670000003
929,2010-07-16,1517.759375
930,2010-07-17,0.0
931,2010-07-18,0.0
932,2010-07-19,0.0
933,2010-07-20,0.0
934,2010-07-21,0.0
935,2010-07-22,0.0
936,2010-07-23,14178.216
937,2010-07-24,0.0
938,2010-07-25,2862.286875
939,2010-07-26,181.4473333
940,2010-07-27,723.784
941,2010-07-28,812.283
942,2010-07-29,0.0
943,2010-07-30,5744.149332999999
944,2010-07-31,0.0
945,2010-08-01,1021.44381
946,2010-08-02,0.0
947,2010-08-03,3072.6735
